Film	Song	Year	Music Director	Language
Aayutha Ezhuthu	"Yakkai Thiri"	2004	A. R. Rahman	Tamil
Yuva	" Fanaa "	2004	A. R. Rahman	Hindi
Pudhupettai	"Poo Pesum Poo Pesum"	2005	Yuvan Shankar Raja	Tamil
Sillunu Oru Kaadhal	"Jillendru Oru Kaadhal"	2006	A. R. Rahman	Tamil
Sivaji: The Boss	"Style"	2007	A. R. Rahman	Tamil
Thotta	"Anbe Vaa"	2008	Srikanth Deva	Tamil
Jaane Tu Ya Jaane Na	"Pappu Can't Dance"	2008	A. R. Rahman	Hindi
Saroja	"My Life"	2008	Yuvan Shankar Raja	English
Slumdog Millionaire	" Gangsta Blues "	2008	A. R. Rahman	English & Hindi
Slumdog Millionaire	" Jai Ho "	2008	A. R. Rahman	Spanish & Hindi
Delhi-6	" Dilli-6 "	2009	A. R. Rahman	Hindi
Delhi-6	" Rehna Tu "	2009	A. R. Rahman	Hindi
Snoop Dogg Millionaire	"Snoop Dogg Millionaire"	2009	Chase & Status	English & Hindi
Muthirai	"July Madathil"	2009	Yuvan Shankar Raja	Tamil
Theeradha Vilaiyattu Pillai	"Theeradha Vilaiyattu Pillai"	2009	Yuvan Shankar Raja	Tamil
Paiyaa	" Thuli Thuli "	2010	Yuvan Shankar Raja	Tamil
Paiyaa	" En Kadhal Solla "	2010	Yuvan Shankar Raja	Tamil
Raavanan	" Keda Kari "	2010	A. R. Rahman	Tamil
Puli	"Power Star"	2010	A. R. Rahman	Telugu
Naan Mahaan Alla	" Iragai Pole "	2010	Yuvan Shankar Raja	Tamil
Enthiran	" Boom Boom Roboda "	2010	A. R. Rahman	Tamil
Goa	" Goa "	2010	Yuvan Shankar Raja	Tamil
Goa	" Goa (Club Mix) "	2010	Yuvan Shankar Raja	Tamil
Billa II	"Yedho Yedho Oru Maikam"	2012	Yuvan Shankar Raja	Tamil
Kadal	"Magudi Magudi"	2012	A R Rahman	Tamil
Non- film single	"Llamalo Amor (Call It Love)"	2013	JHawk	Spanish
Biriyani	" Biriyani "	2013	Yuvan Shankar Raja	Tamil
Arrambam	" Hare Rama Hare Krishna "	2013	Yuvan Shankar Raja	Tamil
