Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Real Oviedo	34	50	21	8	5	73	22	+51
2	CD Sabadell CF	34	50	23	4	7	61	28	+33
3	Real Santander	34	40	18	4	12	58	46	+12
4	SD Indauchu	34	39	16	7	11	64	41	+23
5	CD Condal	34	37	16	5	13	56	40	+16
6	Rayo Vallecano	34	34	12	10	12	44	43	+1
7	Deportivo Alavés	34	33	13	7	14	47	44	+3
8	CD Basconia	34	33	12	9	13	39	56	-17
9	Gerona CF	34	33	14	5	15	42	57	-15
10	Club Sestao	34	32	12	8	14	40	48	-8
11	Real Avilés CF	34	32	12	8	14	52	70	-18
12	Club Ferrol	34	32	13	6	15	45	58	-13
13	Deportivo La Coruña	34	32	14	4	16	52	52	0
14	CD Tarrasa	34	30	12	6	16	57	61	-4
15	Caudal Deportivo	34	29	11	7	16	34	40	-16
16	Cultural Leonesa	34	28	11	6	17	38	48	-10
17	SD Eibar	34	25	8	9	17	39	55	-16
18	CP La Felguera	34	23	8	7	19	38	70	-32
