Team	Outgoing manager	Manner of departure	Date of vacancy	Incoming manager	Date of appointment
Steaua Bucureşti	Victor Piţurcă	Resigned	9 August 2010	Ilie Dumitrescu	12 August 2010
Unirea Urziceni	Ronny Levy	Resigned	21 August 2010	Octavian Grigore	12 September 2010
Universitatea Craiova	Aurel Ţicleanu	Sacked	22 August 2010	Victor Piţurcă	26 August 2010
Astra Ploieşti	Mihai Stoichiţă	Sacked	31 August 2010	Tibor Selymes	6 September 2010
Târgu Mureş	Adrian Falub	Mutual Termination	31 August 2010	Ioan Ovidiu Sabău	3 September 2010
Sportul Studenţesc	Tibor Selymes	Signed by Astra Ploieşti	6 September 2010	Viorel Moldovan	9 September 2010
CFR Cluj	Andrea Mandorlini	Sacked	12 September 2010	Sorin Cârţu	13 September 2010
Timişoara	Vladimir Petrović	Signed by Serbia	15 September 2010	Cosmin Contra	15 September 2010
Steaua Bucureşti	Ilie Dumitrescu	Resigned	21 September 2010	Marius Lăcătuş	28 September 2010
Pandurii Târgu Jiu	Ionuţ Badea	Sacked	2 October 2010	Petre Grigoraş	2 October 2010
Vaslui	Juan Ramón López Caro	Sacked	8 October 2010	Viorel Hizo	8 October 2010
Gloria Bistriţa	Laurenţiu Reghecampf	Sacked	22 October 2010	Nicolae Manea	23 October 2010
Sportul Studenţesc	Viorel Moldovan	Resigned	31 October 2010	Florin Tene	1 November 2010
Universitatea Cluj	Marian Pană	Resigned	8 November 2010	Ionuţ Badea	25 November 2010
CFR Cluj	Sorin Cârţu	Sacked	24 November 2010	Alin Minteuan	24 November 2010
Timişoara	Cosmin Contra	Sacked	4 December 2010	Dušan Uhrin, Jr.	13 December 2010
Braşov	Daniel Isăilă	Made Assistant Manager	18 December 2010	António Conceição	18 December 2010
Unirea Urziceni	Octavian Grigore	Resigned[ citation needed ]	10 January 2011	Marian Pană	26 February 2011
Universitatea Craiova	Victor Piţurcă	Sacked	13 January 2011	Nicolò Napoli	15 January 2011
Steaua Bucureşti	Marius Lăcătuş	Resigned	7 March 2011	Sorin Cârţu	8 March 2011
Sportul Studenţesc	Florin Tene	Resigned[ citation needed ]	13 March 2011	Gheorghe Mulţescu	15 March 2011
Universitatea Craiova	Nicolò Napoli	Promoted Director of football	7 April 2011	Laurenţiu Reghecampf	8 April 2011
Victoria Brăneşti	Ilie Stan	Resigned	19 April 2011	Ciprian Urican	20 April 2011
Rapid Bucureşti	Marius Şumudică	Sacked	27 April 2011	Marian Rada (interim)	28 May 2011
Universitatea Craiova	Laurenţiu Reghecampf	Sacked	2 May 2011	Aurel Ţicleanu	2 May 2011
Steaua Bucureşti	Sorin Cârţu	Resigned	4 May 2011	Gabriel Caramarin (interim)	5 May 2011
