Date	City	Country	Venue	Tickets available since	Attendance	Comment
May 2, 2009	Nice	France	Palais Nikaia	May 23, 2008	9,000	Sold out
May 3, 2009	Nice	France	Palais Nikaia	June 11, 2008	9,000	Sold out
May 5, 2009	Clermont-Ferrand	France	Zénith	May 23, 2008	8,500	Sold out
May 6, 2009	Clermont-Ferrand	France	Zénith	May 23, 2008	8,500	Sold out
May 9, 2009	Marseille	France	Dôme de Marseille	May 23, 2008	8,500	Sold out
May 10, 2009	Marseille	France	Dôme de Marseille	May 23, 2008	8,500	Sold out
May 12, 2009	Marseille	France	Dôme de Marseille	June 6, 2008	8,500	Sold out
May 15, 2009	Toulouse	France	Zénith	May 23, 2008	9,000	Sold out
May 16, 2009	Toulouse	France	Zénith	May 23, 2008	9,000	Sold out
May 18, 2009	Toulouse	France	Zénith	May 23, 2008	9,000	Sold out
May 19, 2009	Toulouse	France	Zénith	September 15, 2008	9,000	Sold out
May 23, 2009	Nantes	France	Zénith	May 23, 2008	8,500	Sold out
May 24, 2009	Nantes	France	Zénith	May 23, 2008	8,500	Sold out
May 26, 2009	Nantes	France	Zénith	May 23, 2008	8,500	Sold out
May 27, 2009	Nantes	France	Zénith	September 23, 2008	8,500	Sold out
May 30, 2009	Rouen	France	Zénith	May 23, 2008	8,000	Sold out
May 31, 2009	Rouen	France	Zénith	May 23, 2008	8,000	Sold out
June 2, 2009	Rouen	France	Zénith	May 27, 2008	8,000	Sold out
June 5, 2009	Strasbourg	France	Zénith	May 23, 2008	10,000	Sold out
June 6, 2009	Strasbourg	France	Zénith	June 10, 2008	10,000	Sold out
June 8, 2009	Dijon	France	Zénith	May 23, 2008	7,800	Sold out
June 9, 2009	Dijon	France	Zénith	May 23, 2008	7,800	Sold out
June 12, 2009	Lyon	France	Halle Tony Garnier	May 23, 2008	12,000	Sold out
June 13, 2009	Lyon	France	Halle Tony Garnier	May 23, 2008	12,000	Sold out
June 15, 2009	Lyon	France	Halle Tony Garnier	September 23, 2008	12,000	Sold out
June 17, 2009	Amnéville	France	Galaxie Amnéville	January 30, 2009	11,000	Sold out
June 19, 2009	Douai	France	Gayant Expo	June 27, 2008	11,500	Sold out
June 20, 2009	Douai	France	Gayant Expo	June 27, 2008	11,500	Sold out
June 22, 2009	Douai	France	Gayant Expo	September 24, 2008	11,500	Sold out
June 28, 2009	Saint Petersburg	Russia	SKK	February 16, 2009	15,000	Sold out
July 1, 2009	Moscow	Russia	Olimpiysky	February 16, 2009	25,000	Sold out
September 4, 2009	Geneva	Switzerland	Stade de Genève	March 28, 2008	32,000	Sold out
September 5, 2009	Geneva	Switzerland	Stade de Genève	April 7, 2008	32,000	Sold out
September 11, 2009	Paris	France	Stade de France	April 1, 2008	80,000	Sold out (2 hours)
September 12, 2009	Paris	France	Stade de France	March 28, 2008	80,000	Sold out (1 hour ¼)
September 19, 2009	Brussels	Belgium	King Baudouin Stadium	April 26, 2008	50,000	Sold out
