Series #	Season #	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
137	1	"Closure"	John Polson	Jan Nash, Bruce Ramussen	September23,2008	11.28
138	2	"22 x 42"	Greg Walker	Byron Balasco	September30,2008	12.61
139	3	"Last Call"	Karen Gaviola	David Amann, Byron Balasco	October14,2008	11.05
140	4	"True/False"	Martha Mitchell	Diego Gutierrez	October21,2008	11.63
141	5	"Rise and Fall"	Jonathan Kaplan	David Amann	October28,2008	12.19
142	6	"Live to Regret"	John F. Showalter	Gwendolyn M. Parker	November11,2008	12.23
143	7	"Rewind"	Karen Gaviola	Bruce Ramussen	November18,2008	11.85
144	8	"Better Angels"	Scott White	Jan Nash, Greg Walker	November25,2008	10.42
145	9	"Push Comes to Shove"	John F. Showalter	Diego Gutierrez, Alicia Kirk	December2,2008	12.32
147	11	"Wanted"	Marianne Jean-Baptiste	Alicia Kirk	January6,2009	13.13
148	12	"Believe Me"	Paul McCrane	Jan Nash, Bruce Rasmussen	January13,2009	12.42
150	14	"Friends and Neighbors"	John F. Showalter	Amanda Segel Marks	February3,2009	12.16
151	15	"Chameleon"	Eric Close	Byron Balasco	February10,2009	14.31
153	17	"Voir Dire"	Jonathan C. Kaplan	Alicia Kirk	March17,2009	11.88
154	18	"Daylight"	Jeff T. Thomas	Greg Walker, Jan Nash	March31,2009	12.53
155	19	"Heartbeats"	Martha Mitchell	Tom Donaghy	April7,2009	12.15
156	20	"Hard Landing"	Michael Amundson	David Rapp	April14,2009	13.23
157	21	"Labyrinths"	Jonathan Kaplan	Diego Gutierrez, Gwendolyn M. Parker	April28,2009	12.35
159	23	"True"	Eric Close	Alicia Kirk, Jan Nash	May12,2009	13.40
