Name	League Goals	FA Cup Goals	FL Cup Goals	Other Goals	Total	Career
George Brown	142	17	0	0	159	1921–1929
Jimmy Glazzard	142	12	0	0	154	1946–1956
Andy Booth	133	5	4	8	150	1991–1996 and 2001–2009
Billy Smith	114	12	0	0	126	1913–1934
Les Massie	100	6	2	0	108	1956–1966
Vic Metcalfe	87	3	0	0	90	1946–1958
Alex Jackson	70	19	0	0	89	1925–1930
Jordan Rhodes	73	2	6	6	87	2009–2012
Frank Mann	68	7	0	0	75	1912–1923
Dave Mangnall	61	12	0	0	73	1929–1934
Derek Stokes	65	2	2	0	69	1960–1965
Kevin McHale	60	5	3	0	68	1956–1967
Iwan Roberts	50	4	6	8	68	1990–1993
Ian Robins	59	5	3	0	67	1978–1982
Marcus Stewart	58	2	7	0	67	1996–2000
Mark Lillis	56	4	3	0	63	1978–1985
Charlie Wilson	57	5	0	0	62	1922–1925
Alan Gowling	58	1	2	0	61	1972–1975
Craig Maskell	43	3	4	4	55	1988–1990
Brian Stanton	45	6	3	0	54	1979–1986
Colin Dobson	50	0	2	0	52	1966–1970
Ernie Islip	44	8	0	0	52	1913–1923
Paweł Abbott	48	1	2	0	51	2004–2007
Clem Stephenson	42	8	0	0	50	1921–1929
David Cowling	43	2	3	0	48	1978–1987
Duncan Shearer	38	3	6	1	48	1986–1988
Frank Worthington	41	5	2	0	48	1967–1972
Charlie Luke	40	7	0	0	47	1931–1936
Phil Starbuck	36	4	2	5	47	1991–1995
Jimmy Lawson	42	4	0	0	46	1968–1976
Alf Lythgoe	42	4	0	0	46	1934–1938
George McLean	43	3	0	0	46	1930–1934
Danny Schofield	39	1	0	6	46	1998–2008
Peter Fletcher	36	4	5	0	45	1978–1982
Sammy Taylor	39	6	0	0	45	1919–1921
Tony Leighton	40	2	2	0	44	1965–1968
Ronnie Jepson	36	3	2	1	42	1993–1996
Bob Kelly	39	3	0	0	42	1927–1932
Lee Novak	34	5	2	1	42	2009–2013
Terry Gray	36	2	3	0	41	1973–1979
