Outcome	Date	Championship	Surface	Opponent in the final	Score in the final
Winner	10 March 1997	Copenhagen , Denmark	Carpet (i)	Martin Damm	6–4, 3–6, 6–2
Winner	17 March 1997	St. Petersburg , Russia	Carpet (i)	Renzo Furlan	6–3, 6–4
Runner-up	2 March 1998	Rotterdam , Netherlands	Carpet (i)	Jan Siemerink	6–7 (2–7) , 2–6
Runner-up	9 November 1998	Stockholm , Sweden	Hard (i)	Todd Martin	3–6, 4–6, 4–6
Winner	2 August 1999	Montreal , Canada	Hard	Yevgeny Kafelnikov	1–6, 6–3, 6–3
Winner	20 November 2000	Stockholm , Sweden	Hard (i)	Yevgeny Kafelnikov	6–2, 6–4, 6–4
Winner	11 June 2001	Halle , Germany	Grass	Fabrice Santoro	6–3, 6–7 (5–7) , 6–2
Winner	18 June 2001	Nottingham , UK	Grass	Harel Levy	7–5, 6–3
Winner	14 January 2002	Australian Open , Melbourne , Australia	Hard	Marat Safin	3–6, 6–4, 6–4, 7–6 (7–4)
Runner-up	14 June 2004	Nottingham , UK	Grass	Paradorn Srichaphan	6–1, 6–7 (4–7) , 3–6
Winner	25 October 2004	Stockholm, Sweden	Hard (i)	Andre Agassi	3–6, 6–3, 7–6 (7–4)
Winner	24 October 2005	St. Petersburg, Russia	Carpet (i)	Nicolas Kiefer	6–4, 6–2
Runner-up	23 October 2006	St. Petersburg , Russia	Carpet (i)	Mario Ančić	5–7, 6–7 (2–7)
Runner-up	8 October 2007	Stockholm, Sweden	Hard (i)	Ivo Karlović	3–6, 6–3, 1–6
