Rank	July 1, 2013 projection	% of pop.	Average relative annual growth (%)	Average absolute annual growth
1	177,096,000	16.10	3.24	5,551,000
2	86,614,000	7.88	2.67	2,253,000
3	84,605,000	7.69	2.29	1,893,000
4	74,618,000	6.78	3.23	2,334,000
5	52,982,000	4.82	1.35	704,000
6	45,950,000	4.18	2.69	1,204,000
7	43,291,000	3.94	3.01	1,266,000
8	38,295,000	3.48	2.11	792,000
9	35,363,000	3.22	3.61	1,232,000
10	35,150,000	3.20	2.52	863,000
11	32,950,000	3.00	1.08	353,000
12	26,441,000	2.40	2.56	659,000
13	24,491,000	2.23	3.33	790,000
14	23,919,000	2.17	3.09	717,000
15	21,852,000	1.99	2.75	585,000
16	21,256,000	1.93	3.14	647,000
17	20,930,000	1.90	2.66	543,000
18	17,493,000	1.59	3.85	649,000
19	17,323,000	1.58	3.28	550,000
20	16,678,000	1.52	3.29	532,000
21	15,316,000	1.39	3.17	470,000
22	14,129,000	1.28	2.85	392,000
23	13,567,000	1.23	3.06	403,000
24	13,098,000	1.19	1.10	142,000
25	12,948,000	1.18	3.64	455,000
26	11,861,000	1.08	3.09	356,000
27	10,889,000	0.99	1.03	111,000
28	10,780,000	0.98	2.63	276,000
29	10,334,000	0.94	4.40	436,000
30	9,742,000	0.89	3.24	306,000
31	9,662,000	0.88	1.17	112,000
32	9,023,000	0.82	2.36	208,000
33	6,675,000	0.61	2.88	187,000
34	6,323,000	0.57	1.56	97,000
35	5,823,000	0.53	1.84	105,000
36	5,217,000	0.47	3.10	157,000
37	4,980,000	0.45	4.05	194,000
38	4,525,000	0.41	3.31	145,000
39	3,881,000	0.35	2.10	80,000
40	3,461,000	0.31	2.58	87,000
41	2,204,000	0.20	3.96	84,000
42	2,170,000	0.20	1.45	31,000
43	2,096,000	0.19	1.85	38,000
44	1,887,000	0.17	0.05	1,000
45	1,837,000	0.17	4.20	74,000
46	1,794,000	0.16	2.75	48,000
47	1,699,000	0.15	2.60	43,000
48	1,273,000	0.12	0.63	8,000
49	1,077,000	0.10	0.94	10,000
50	912,000	0.08	2.70	24,000
51	862,000	0.08	1.41	12,000
52	743,000	0.07	2.62	19,000
53	650,000	0.06	5.18	32,000
54	511,000	0.05	1.39	7,000
55	217,000	0.02	2.36	5,000
56	194,000	0.02	3.19	6,000
57	94,000	0.01	1.08	1,000
58	4,000	0.00	0.00	0
align=left|Total	100.00	2.74	29,279,000	26
