Model	Engine make/Capacity	Power kW@rpm	Torque Nm@rpm	Transmission Make/Type/Speed	GVM (kg) Technical Capacity	GCM (kg) Technical Capacity
Model	Engine make/Capacity	Power kW@rpm	Torque Nm@rpm	Transmission Make/Type/Speed	GVM (kg) Technical Capacity	GCM (kg) Technical Capacity
8.120	MWM 4.10-TCA-EURO III (Turbo Intercooler)	84.6 @ 2400	400 @ 1600	Eaton FS-4305-C Synchromesh 5 Speed	7700	10500
8.150E	Cummins Interact 4.0-EURO III (Turbo Intercooler)	110 @ 2500	550 @ 1400 - 1700	Eaton FS-4305-C Synchromesh 5 Speed	8150	11000
13.170E	MWM 4.10-TCA-EURO III (Turbo Intercooler)	125 @ 25000	600 @ 1200 - 1600	Eaton FS-4205-A Synchromesh	12900	23000
13.180	MWM 6.10 TCA-EURO III (Turbo Intercooler)	127 @ 2400	600 @ 1700	Eaton FS-4205-A Manual Synchromesh 5 Speed	13000	23000
13.180E	MWM 4.12 TCE-EURO III (Turbo Intercooler)	132 @ 2200	600 @ 1600 - 2000	Eaton FS-4205-A Manual Synchromesh 5 Speed	12900	23000
15.170E	Cummins Interact 4.0-EURO III (Turbo Intercooler)	125 @ 2500	600 @ 1200 - 1600	Eaton FS-4205-A Manual Synchromesh 5 Speed	14500	27000
15.180	MWM 6.10 TCA-EURO III (Turbo Intercooler)	127 @ 2400	600 @ 1700	Eaton FS-4205-A Manual Synchromesh 5 Speed	14500	27000
15.180E	MWM 4.12 TCE-EURO III (Turbo Intercooler)	132 @ 2200	600 @ 1600 - 2000	Eaton FS-4205-A Manual Synchromesh 5 Speed	14500	27000
17.180	MWM 6.10 TCA-EURO III (Turbo Intercooler)	127 @ 2400	600 @ 1700	Eaton FS 5306-A Manual Synchromesh 6 Speed	16000	28800
17.220	Cummins C8.3215 P5-0-EURO III (Turbo Intercooler)	160 @ 2200	888 @ 1400	Eaton FS 6306-A Manual Synchromesh 6 Speed	16000	35000
17.250E	Cummins Interact 6.0-EURO III (Turbo Intercooler)	184 @ 2500	950 @ 1200 - 1700	Eaton FS-6306-B Manual Synchromesh 6 Speed	16000	35000
24.220	Cummins C8.3215 P5-0-EURO III (Turbo Intercooler)	160 @ 2200	888 @ 1400	Eaton FS-6306 A Manual Synchromesh 6 Speed	23000	35000
