Player	Date of Birth	Batting Style	Bowling Style	First Class Team
Aamer Sohail (captain)	14 September 1966	Left hand bat	Left arm orthodox spin	Lahore
Shahid Afridi	1 March 1980	Right hand bat	Right arm leg break	Karachi
Ijaz Ahmed	20 September 1968	Right hand bat	Left arm medium	Islamabad
Shoaib Akhtar	13 August 1975	Right hand bat	Right arm fast	Rawalpindi
Wasim Akram	3 June 1966	Left hand bat	Left arm fast	Lahore
Saleem Elahi	21 November 1976	Right hand bat	Right arm off break	Lahore
Aaqib Javed	5 August 1972	Right hand bat	Right arm fast-medium	Islamabad
Arshad Khan	22 March 1971	Right hand bat	Right arm off break	Peshawar
Moin Khan (wicket-keeper)	23 September 1971	Right hand bat	Wicket-keeper	Karachi
Azhar Mahmood	28 February 1975	Right hand bat	Right arm fast-medium	Islamabad
Saleem Malik	16 April 1963	Right hand bat	Right arm medium	Lahore
Saqlain Mushtaq	29 December 1976	Right hand bat	Right arm off break	Islamabad
Akhtar Sarfraz	20 February 1976	Left hand bat	Right arm off break	Peshawar
Yousuf Youhana	27 August 1974	Right hand bat	Right arm off break	Lahore
Source:	Source:	Source:	Source:	Source:
