Hangul	Hanja	Revised	McCune-Reischauer	Estimated distribution (2000)*
가	賈	Ga	Ka	9,090
간	簡	Gan	Kan	2,429
갈	葛	Gal	Kal	3,178
감	甘	Gam	Kam	5,998
강	姜, 剛, 康, 強, 彊, 江	Gang	Kang	1,169,805
강전	岡田	Gangjeon	Kangjŏn	51
개	介	Gae	Kae	86
견	堅, 甄	Gyeon	Kyŏn	1,670
경	慶, 景, 京	Gyeong	Kyŏng	15,784
계	桂	Gye	Kye	6,282
고	高	Go	Ko	435,839
곡	曲	Gok	Kok	155
공	孔, 公, 龔	Gong	Kong	85,606
곽	郭	Gwak	Kwak	187,322
교	橋	Gyo	Kyo	41
구	具, 丘, 邱	Gu	Ku	1,253
국	國, 菊, 鞠	Guk	Kuk	18,976
군	君	Gun	Kun	46
궁	弓	Gung	Kung	562
궉	鴌	Gwok	Kwŏk	248
권	權	Gwon	Kwŏn	652,495
근	斤	Geun	Kŭn	242
금	琴 ，今 ，金	Geum	Kŭm	23,489
기	奇, 箕	Gi	Ki	26,679
길	吉	Gil	Kil	32,418
김	金	Gim	Kim	9,925,949
나 (S) 라 (N)	羅	Na (S) Ra (N)	Na (S) Ra (N)	172,022
난 (S) 란 (N)	欒	Nan (S) Ran (N)	Nan (S) Ran (N)	80
남	南	Nam	Nam	257,178
남궁	南宮	Namgung	Namgung	18,743
낭 (S) 랑 (N)	浪 ，郞	Nang (S) Rang (N)	Nang (S) Rang (N)	341
내	乃, 奈	Nae	Nae	440
노 (S) 로 (N)	盧, 魯, 路	No (S) Ro (N)	No (S) Ro (N)	290,434
뇌 (S) 뢰 (N)	雷, 賴	Noe (S) Roe (N)	Noe (S) Roe (N)	92
누 (S) 루 (N)	樓	Nu (S) Ru (N)	Nu (S) Ru (N)	24
단	段	Dan	Tan	1,585
담	譚	Dam	Tam	57
당	唐	Dang	Tang	1,025
대	大	Dae	Tae	606
도	道, 都, 陶	Do	To	54,779
독고	獨孤	Dokgo	Tokko	807
돈	頓	Don	Ton	115
동	董	Dong	Tong	5,564
동방	東方	Dongbang	Tongbang	220
두	杜	Du	Tu	5,958
류(유)	柳	Ryu	Ryu	603,084
마	馬, 麻	Ma	Ma	36,094
만	萬	Man	Man	172
망절	網切	Mangjeol	Mangjŏl	10
매	梅	Mae	Mae	222
맹	孟	Maeng	Maeng	20,219
명	明	Myeong	Myŏng	26,746
모	毛, 牟	Mo	Mo	19,834
목	睦, 穆, 木	Mok	Mok	8,191
묘	苗	Myo	Myo	61
묵	墨	Muk	Muk	179
문	門, 文	Mun	Mun	426,927
미	米	Mi	Mi	199
민	閔	Min	Min	159,054
박	朴	Bak	Pak	3,895,121
반	班, 潘	Ban	Pan	26,171
방	方, 房, 邦, 龐	Bang	Pang	119,703
배	裴 (裵 is an alternative of 裴)	Bae	Pae	372,064
백	白	Baek	Paek	351,275
범	凡, 范	Beom	Pŏm	3,472
변	卞, 邊	Byeon	Pyŏn	131,554
복	卜	Bok	Pok	8,644
봉	奉, 鳳	Bong	Pong	11,819
부	夫, 傅	Bu	Pu	9,592
비	丕	Bi	Pi	90
빈	賓, 彬	Bin	Pin	5,252
빙	氷	Bing	Ping	727
사	史, 舍, 謝	Sa	Sa	10,118
사공	司空	Sagong	Sagong	4,307
삼	森, 杉	Sam	Sam	51
상	尙	Sang	Sang	2,298
서	西, 徐	Seo	Sŏ	695,249
서문	西門	Seomun	Sŏmun	1,861
석	昔, 石	Seok	Sŏk	54,610
선	宣	Seon	Sŏn	38,849
선우	鮮于	Seonu	Sŏnu	3,560
설	薛, 偰	Seol	Sŏl	42,064
섭	葉	Seop	Sŏp	450
성	成, 星	Seong	Sŏng	185,363
소	蘇, 邵	So	So	49,456
소봉	小峰	Sobong	Sobong	18
손	孫	Son	Son	415,182
송	宋, 松	Song	Song	639,082
수	水, 洙	Su	Su	199
순	荀, 舜, 淳, 順	Sun	Sun	1,296
승	昇, 承	Seung	Sŭng	3,304
시	柴, 施	Si	Si	3,928
신	申, 辛, 愼	Sin	Sin	911,556
심	沈	Sim	Sim	252,255
십	什	Sip	Sip	82
아	阿	A	A	632
안	安	An	An	637,786
애	艾	Ae	Ae	123
야	夜	Ya	Ya	180
양 (S) 량 (N)	梁, 楊, 樑, 襄	Yang (S) Ryang (N)	Yang (S) Ryang (N)	486,645
어	魚	Eo	Ŏ	17,551
어금	魚金	Eogeum	Ŏgŭm	51
엄	嚴	Eom	Ŏm	132,990
여 (S) 려 (N)	余, 呂, 汝	Yeo (S) Ryeo (N)	Yŏ (S) Ryŏ (N)	75,196
연 (S) 련 (N)	連, 燕, 延	Yeon (S) Ryeon (N)	Yŏn (S) Ryŏn (N)	32,528
염 (S) 렴 (N)	廉	Yeom (S) Ryeom (N)	Yŏm (S) Ryŏm (N)	63,951
엽	葉	Yeop	Yŏp	127
영	永, 榮, 影	Yeong	Yŏng	259
예	芮, 乂	Ye	Ye	12,656
오	伍, 吳, 呉	O	O	706,908
옥	玉	Ok	Ok	22,964
온	溫	On	On	5,081
옹	邕, 雍	Ong	Ong	964
왕	王, 汪	Wang	Wang	23,447
요	姚	Yo	Yo	198
용 (S) 룡 (N)	龍	Yong (S) Ryong (N)	Yong (S) Ryong (N)	14,067
우	於, 禹	U	U	180,141
운	雲, 芸	Un	Un	170
원	元, 袁, 苑	Won	Wŏn	120,465
위	韋, 魏	Wi	Wi	30,496
유 (S) 류 (N)	劉, 兪, 庾	Yu (S) Ryu (N)	Yu (S) Ryu (N)	437,900
육 (S) 륙 (N)	陸	Yuk (S) Ryuk (N)	Yuk (S) Ryuk (N)	21,545
윤	尹	Yun	Yun	948,600
은	殷	Eun	Ŭn	15,657
음	陰	Eum	Ŭm	5,936
이 (S) 리 (N)	李, 伊, 異	I (S) Ri (N)	Yi (S) Ri (N)	6,796,227
인	印	In	In	20,635
임	任	Im	Im	99,986
임 (S) 림 (N)	林	Im (S) Rim (N)	Im (S) Rim (N)	635,507
자	慈	Ja	Cha	178
장	莊, 章, 張, 蔣	Jang	Chang	943,257
장곡	長谷	Janggok	Changgok	52
저	邸	Jeo	Chŏ	48
전	全, 田, 錢	Jeon	Chŏn	687,867
점	佔	Jeom	Chŏm	516
정	丁, 程, 鄭	Jeong	Chŏng	2,230,611
제	諸	Je	Che	29,968
제갈	諸葛	Jegal	Chegal	4,444
조	趙, 曺	Jo	Cho	1,347,730
종	宗, 鍾	Jong	Chong	962
좌	左	Jwa	Chwa	3,130
주	周, 朱	Ju	Chu	215,010
준	俊	Jun	Chun	72
즙	辻	Jeup	Chŭp	4
증	增, 曾	Jeung	Chŭng	6
지	智, 池	Ji	Chi	147,572
진	晉, 眞, 陳, 秦	Jin	Chin	170,980
차	車	Cha	Ch'a	180,589
창	昌, 倉	Chang	Ch'ang	1,179
채	采, 菜, 蔡	Chae	Ch'ae	119,251
천	天, 千	Cheon	Ch'ŏn	112,227
초	楚, 肖	Cho	Ch'o	351
최	崔	Choe	Ch'oe	2,169,704
추	秋, 鄒	Chu	Ch'u	55,309
탁	卓	Tak	T'ak	19,395
탄	彈	Tan	T'an	155
태	太	Tae	T'ae	8,165
