Year	Mission type	Shogun	Ryūkyūan King	Lead Envoy	Number in entourage
1634	Congratulation & Gratitude	Tokugawa Iemitsu	Shō Hō	Princes Tamagusuku, Kin, Sashiki	Unknown
1644	Congratulation & Gratitude	Tokugawa Iemitsu	Shō Ken	Princes Kin, Kunigami	70
1649	Gratitude	Tokugawa Iemitsu	Shō Shitsu	Prince Gushikawa Chōei	63
1653	Congratulation	Tokugawa Ietsuna	Shō Shitsu	Prince Kunigami	71
1671	Gratitude	Tokugawa Ietsuna	Shō Tei	Prince Kin	74
1682	Congratulation	Tokugawa Tsunayoshi	Shō Tei	Prince Nago	94
1710	Congratulation & Gratitude	Tokugawa Ienobu	Shō Eki	Princes Miri, Tomigusuku	168
1714	Congratulation & Gratitude	Tokugawa Ietsugu	Shō Kei	Princes Kin, Yonagusuku	170
1718	Congratulation	Tokugawa Yoshimune	Shō Kei	Prince Goeku	94
1748	Congratulation	Tokugawa Ieshige	Shō Kei	Prince Gushikawa	98
1752	Gratitude	Tokugawa Ieshige	Shō Boku	Prince Nakijin	94
1764	Congratulation	Tokugawa Ieharu	Shō Boku	Prince Yomitanzan	96
1790	Congratulation	Tokugawa Ienari	Shō Boku	Prince Ginowan	96
1796	Gratitude	Tokugawa Ienari	Shō On	Prince Ōgimi	97
1806	Gratitude	Tokugawa Ienari	Shō Kō	Prince Yomitanzan	97
1832	Gratitude	Tokugawa Ienari	Shō Iku	Prince Tomigusuku	78
1842	Congratulation	Tokugawa Ieyoshi	Shō Iku	Prince Urasoe	99
1850	Gratitude	Tokugawa Ieyoshi	Shō Tai	Prince Tamakawa	99
