Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	20-10-1 (2)	Andrei Arlovski	Decision (unanimous)	WSOF 5	3	5:00	Atlantic City, New Jersey , United States
Win	20-9-1 (2)	Travis Wiuff	KO (punch)	CFA 11: Kyle vs. Wiuff 2	1	0:21	Coral Gables, Florida , United States
Loss	19-9-1 (2)	Gegard Mousasi	Submission (rear naked choke)	Strikeforce: Marquardt vs. Saffiedine	1	4:09	Oklahoma City, Oklahoma , United States
NC	19-8-1 (2)	Rafael Cavalcante	NC (banned substance)	Strikeforce: Barnett vs. Cormier	1	0:33	San Jose, California , United States
Win	19-8-1 (1)	Marcos Rogerio de Lima	Decision (unanimous)	Strikeforce: Barnett vs. Kharitonov	3	5:00	Cincinnati, Ohio , United States
Loss	18-8-1 (1)	Antonio Silva	KO (punches)	Strikeforce: Henderson vs. Babalu II	2	2:49	St. Louis, Missouri , United States
Win	18-7-1 (1)	Steve Oliver	TKO (punches)	Xtreme MMA Australia 3	1	N/A	Sydney, Australia
Win	17-7-1 (1)	Abongo Humphrey	Submission (rear-naked choke)	Strikeforce Challengers 9	2	3:28	Everett, Washington , United States
Win	16-7-1 (1)	Tony Lopez	Decision (split)	KOTC: Honor	5	5:00	New Mexico, United States
Win	15-7-1 (1)	Jon Murphy	KO (punches and elbows)	KOTC: Legacy	2	4:53	Nevada, United States
NC	14-7-1 (1)	Travis Wiuff	NC (punch after the bell)	KOTC: Vengeance	2	5:00	New Mexico, United States
Win	14-7-1	Jeremy Freitag	TKO (punches)	Xtreme MMA Australia 1	3	4:51	Sydney, Australia
Loss	13-7-1	Fabricio Werdum	Submission (guillotine choke)	Strikeforce: Carano vs. Cyborg	1	1:24	San Jose, California , United States
Win	13-6-1	Rafael Cavalcante	KO (punches)	Strikeforce: Lawler vs. Shields	2	4:05	St Louis, Missouri United States
Win	12-6-1	Mychal Clark	Decision (unanimous)	JG/TKT Promotions: Fighting 4 Kidz	3	5:00	California, United States
Win	11-6-1	Rudy Martin	KO (punches)	IFC: Caged Combat	1	0:41	Idaho, United States
Loss	10-6-1	Wayne Cole	Submission (armbar)	Strikeforce: Shamrock vs. Le	1	0:45	San Jose, California, United States
Loss	10-5-1	Brian Olsen	DQ (illegal strikes)	WEC 20	1	3:45	California, United States
Draw	10-4-1	Krzysztof Soszynski	Technical Draw	Strikeforce: Shamrock vs. Gracie	1	2:02	California, United States
Loss	10-4	Devin Cole	TKO (punches)	WEC 18	2	2:56	California, United States
Win	10-3	Tsuyoshi Kohsaka	Technical Decision (unanimous)	Pancrase: Spiral 8	3	1:17	Yokohama , Japan
Win	9-3	James Irvin	KO (punch)	UFC 51	1	1:55	Nevada, United States
Loss	8-3	Justin Eilers	KO (punch)	UFC 49	1	1:14	Nevada, United States
Win	8-2	Wes Sims	KO (punch)	UFC 47	1	4:59	Nevada, United States
Win	7-2	Jude Hargett	KO (punches)	WEC 9	1	4:09	California, United States
Win	6-2	Dan Chase	KO (injury)	King of the Rockies	1	0:12	Colorado, United States
Win	5-2	Jason Reed	Submission (punches)	IFC: Battleground Boise	1	1:52	Idaho, United States
Win	4-2	Jerry Vrbanovic	KO (punches)	WEC 8	1	0:12	California, United States
Loss	3-2	Paul Buentello	KO (punches)	KOTC 18: Sudden Impact	2	1:24	Nevada, United States
Loss	3-1	Dan Bobish	Submission (punches)	KOTC 13: Revolution	1	3:25	Nevada, United States
Win	3-0	Nate Russak	Submission (punches)	Gladiator Challenge 9	1	2:39	California, United States
Win	2-0	Kauai Kupihea	KO (punches)	Night of the Knockout 2	2	N/A	Idaho, United States
Win	1-0	Andrew Boyle	TKO (punches)	Night of the Knockout 1	1	1:30	Idaho, United States
