Race	Date	Location	Pole Position	Fastest Lap	Race Winner	Constructor	Report
Argentine Grand Prix	12 January	Buenos Aires	Jean-Pierre Jarier	James Hunt	Emerson Fittipaldi	McLaren - Ford	Report
Brazilian Grand Prix	26 January	Interlagos	Jean-Pierre Jarier	Jean-Pierre Jarier	Carlos Pace	Brabham - Ford	Report
South African Grand Prix	1 March	Kyalami	Carlos Pace	Carlos Pace	Jody Scheckter	Tyrrell - Ford	Report
Spanish Grand Prix	27 April	Montjuïc	Niki Lauda	Mario Andretti	Jochen Mass	McLaren - Ford	Report
Monaco Grand Prix	11 May	Monaco	Niki Lauda	Patrick Depailler	Niki Lauda	Ferrari	Report
Belgian Grand Prix	25 May	Zolder	Niki Lauda	Clay Regazzoni	Niki Lauda	Ferrari	Report
Swedish Grand Prix	8 June	Anderstorp	Vittorio Brambilla	Niki Lauda	Niki Lauda	Ferrari	Report
Dutch Grand Prix	22 June	Zandvoort	Niki Lauda	Niki Lauda	James Hunt	Hesketh - Ford	Report
French Grand Prix	6 July	Paul Ricard	Niki Lauda	Jochen Mass	Niki Lauda	Ferrari	Report
British Grand Prix	19 July	Silverstone	Tom Pryce	Clay Regazzoni	Emerson Fittipaldi	McLaren - Ford	Report
German Grand Prix	3 August	Nürburgring	Niki Lauda	Clay Regazzoni	Carlos Reutemann	Brabham - Ford	Report
Austrian Grand Prix	17 August	Österreichring	Niki Lauda	Vittorio Brambilla	Vittorio Brambilla	March - Ford	Report
Italian Grand Prix	7 September	Monza	Niki Lauda	Clay Regazzoni	Clay Regazzoni	Ferrari	Report
United States Grand Prix	5 October	Watkins Glen	Niki Lauda	Emerson Fittipaldi	Niki Lauda	Ferrari	Report
