Week	Date	Opponent	Result	Attendance
1	September 25, 1955	at Cleveland Browns	W 27-17	30,041
2	October 1, 1955	at Philadelphia Eagles	W 31-30	31,891
3	October 9, 1955	Chicago Cardinals	L 24-10	26,337
4	October 16, 1955	Cleveland Browns	L 24-14	29,168
5	October 23, 1955	at Baltimore Colts	W 14-13	51,387
6	October 30, 1955	at New York Giants	L 35-7	17,402
7	November 6, 1955	Philadelphia Eagles	W 34-21	25,741
8	November 13, 1955	San Francisco 49ers	W 7-0	25,112
9	November 20, 1955	at Chicago Cardinals	W 31-0	16,901
10	November 27, 1955	at Pittsburgh Steelers	W 23-14	21,760
11	December 4, 1955	New York Giants	L 27-20	28,556
12	December 11, 1955	Pittsburgh Steelers	W 28-17	20,547
