Date	Visitor	Score	Home	Record
February 3	Pittsburgh	0 – 3	Detroit	36–9–4
February 6	Florida	2 – 4	Detroit	37–9–4
February 8	Detroit	1 – 3	Florida	37–10–4
February 10	Detroit	3 – 2	Tampa Bay	38–10–4
February 13	Los Angeles	4 – 9	Detroit	39–10–4
February 15	Washington	3 – 4	Detroit	40–10–4
February 16	Detroit	3 – 4	St. Louis	40–11–4
February 18	Detroit	3 – 2	Toronto	41–11–4
February 19	Vancouver	3 – 4	Detroit	42–11–4
February 22	Toronto	3 – 5	Detroit	43–11–4
February 24	Tampa Bay	0 – 2	Detroit	44–11–4
February 27	Detroit	6 – 2	NY Islanders	45–11–4
February 29	NY Islanders	1 – 5	Detroit	46–11–4
