Season	The Mole	Winner	Runner-up	International destination
1999/2000	Deborah	Petra (€37.437,-)	Robin	Australia
2001	Nico	Sigrid (€31.765,-)	Yvonne	Scotland
2002	George	John (€42.300,-)	Jantien	Portugal
2003	Elise	Ron (€35.550,-)	Chandrika	Canada
2005	Yvon	Marc-Marie (€23.000,-)	Lottie	Australia , Indonesia ( Bali )
2006	Milouska	Frédérique (€24.475,-)	Roderick	Argentina
2007	Inge	Paul (€17.300,-)	Renate, Eva	Thailand
2008	Dennis	Edo (€20.375,-)	Regina	Mexico
2008 Junior Edition	Amin	Naomi	Lara	Netherlands ( Zwolle )
2009	Jon	Viviënne (€22.650,-)	Anniek	Northern Ireland Jordan
2010	Kim	Frits (€21.950,-)	Sanne	Japan
2011	Patrick	Art (€19.540,-)	Soundos	El Salvador Nicaragua
2012	Anne-Marie	Hadewych (€12.601,-)	Liesbeth	Iceland Spain ( Andalusia )
2013	Kees	Paulien (€17.120,-)	Carolien	South Africa
