Season	Champion	Runner-Up	3rd Position	Top Goalscorer(s)	Team(s)
1992	Norma	Eesti Põlevkivi	TVMK	Norma	18
1992–93	Norma	Flora	Nikol	Norma	27
1993–94	Flora	Norma	Nikol/Marlekor	Narva Trans	21
1994–95	Flora	Lantana/Marlekor	Narva Trans	Lantana/Marlekor	25
1995–96	Lantana	Flora	Tevalte/Marlekor	Flora	16
1996–97	Lantana	Flora	Marlekor	Lantana	18
1997–98	Flora	Tallinna Sadam	Lantana	Tallinna Sadam	18
1998	Flora	Tallinna Sadam	Lantana	Tallinna Sadam	13
1999	Levadia	Viljandi Tulevik	Flora	Levadia	19
2000	Levadia	Flora	TVMK	TVMK Levadia	24
2001	Flora	TVMK	Levadia	Narva Trans	37
2002	Flora	Levadia	TVMK	TVMK	37
2003	Flora	TVMK	Levadia	Flora	39
2004	Levadia	TVMK	Flora	Flora	28
2005	TVMK	Levadia	Narva Trans	TVMK	41
2006	Levadia	Narva Trans	Flora	Narva Trans	31
2007	Levadia	Flora	TVMK	Narva Trans	30
2008	Levadia	Flora	Narva Trans	Levadia Nõmme Kalju	22
2009	Levadia	Sillamäe Kalev	Narva Trans	Levadia	26
2010	Flora	Levadia	Narva Trans	Flora	24
2011	Flora	Nõmme Kalju	Narva Trans	Narva Trans	46
2012	Nõmme Kalju	Levadia	Flora	Sillamäe Kalev and Narva Trans	23
