Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 4, 1983	at New England Patriots	W 29–23 OT	1–0	Sullivan Stadium	45,526
2	September 11, 1983	Denver Broncos	L 10–17	1–1	Memorial Stadium	52,613
3	September 18, 1983	at Buffalo Bills	L 23–28	1–2	Rich Stadium	40,937
4	September 25, 1983	Chicago Bears	W 22–19	2–2	Memorial Stadium	34,350
5	October 2, 1983	at Cincinnati Bengals	W 34–31	3–2	Riverfront Stadium	48,104
6	October 9, 1983	New England Patriots	W 12–7	4–2	Memorial Stadium	35,618
7	October 16, 1983	Buffalo Bills	L 7–30	4–3	Memorial Stadium	38,565
8	October 23, 1983	Miami Dolphins	L 7–21	4–4	Memorial Stadium	32,343
9	October 30, 1983	at Philadelphia Eagles	W 22–21	5–4	Veterans Stadium	59,150
10	November 6, 1983	at New York Jets	W 17–14	6–4	Shea Stadium	53,323
11	November 13, 1983	Pittsburgh Steelers	L 13–24	6–5	Memorial Stadium	57,319
12	November 20, 1983	at Miami Dolphins	L 17–50	6–6	Miami Orange Bowl	54,482
13	November 27, 1983	at Cleveland Browns	L 23–41	6–7	Cleveland Stadium	65,812
14	December 4, 1983	New York Jets	L 6–10	6–8	Memorial Stadium	35,462
15	December 11, 1983	at Denver Broncos	L 19–21	6–9	Mile High Stadium	74,864
16	December 18, 1983	Houston Oilers	W 20–10	7–9	Memorial Stadium	20,418
