Week	Date	Opponent	Result	Attendance
1	September 4, 1994	at Green Bay Packers	L 16-10	59,487
2	September 11, 1994	Detroit Lions	W 10-3	57,349
3	September 18, 1994	at Chicago Bears	W 42-14	61,073
4	September 25, 1994	Miami Dolphins	W 38-35	64,035
5	October 2, 1994	at Arizona Cardinals	L 17-7	67,950
6	October 10, 1994	at New York Giants	W 27-10	77,294
7	Bye	Bye	Bye	Bye
8	October 20, 1994	Green Bay Packers	W 13-10 (OT)	63,041
9	October 30, 1994	at Tampa Bay Buccaneers	W 36-13	42,110
10	November 6, 1994	New Orleans Saints	W 21-20	57,564
11	November 13, 1994	at New England Patriots	L 26-20 (OT)	58,382
12	November 20, 1994	New York Jets	L 31-21	60,687
13	November 27, 1994	Tampa Bay Buccaneers	L 20-17 (OT)	47,259
14	December 1, 1994	Chicago Bears	W 33-27 (OT)	61,483
15	December 11, 1994	at Buffalo Bills	W 21-17	66,501
16	December 17, 1994	at Detroit Lions	L 41-19	73,881
17	December 26, 1994	San Francisco 49ers	W 21-14	63,326
