Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	73	1:40:29.914	2
Rubens Barrichello	Ferrari	73	+2.950	1
Takuma Sato	BAR - Honda	73	+22.036	3
Jarno Trulli	Renault	73	+34.544	20
Olivier Panis	Toyota	73	+37.534	8
Kimi Räikkönen	McLaren - Mercedes	72	+1 Lap	7
David Coulthard	McLaren - Mercedes	72	+1 Lap	12
Zsolt Baumgartner	Minardi - Cosworth	70	+3 Laps	19
Giancarlo Fisichella	Sauber - Petronas	65	Hydraulics	14
Mark Webber	Jaguar - Cosworth	60	Engine	10
Nick Heidfeld	Jordan - Ford	40	Engine	16
Jenson Button	BAR - Honda	26	Gearbox	4
Cristiano da Matta	Toyota	17	Collision Damage/Gearbox	11
Ralf Schumacher	Williams - BMW	9	Tyre/Accident	6
Fernando Alonso	Renault	8	Tyre	9
Christian Klien	Jaguar - Cosworth	0	Collision	13
Felipe Massa	Sauber - Petronas	0	Collision	15
Giorgio Pantano	Jordan - Ford	0	Collision	17
Gianmaria Bruni	Minardi - Cosworth	0	Collision	18
Juan Pablo Montoya	Williams - BMW	57	Disqualified	5
