Tournament	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	Career SR	Career Win-Loss
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	A	A	A	2R	1R	F	1R	2R	3R	1R	2R	2R	F	3R	0 / 11	18–11
French Open	A	A	A	1R	1R	W	2R	2R	1R	1R	2R	2R	1R	3R	1 / 11	12–10
Wimbledon	A	A	2R	1R	QF	3R	3R	F	2R	1R	1R	3R	1R	2R	0 / 12	17–12
U.S. Open	2R	A	A	1R	2R	3R	QF	1R	1R	3R	SF	1R	2R	A	0 / 11	14–11
Grand Slam SR	0 / 1	0 / 0	0 / 1	0 / 4	0 / 4	1 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 3	1 / 45	N/A
Annual Win-Loss	1–1	0–0	1–1	1–4	4–4	15–3	6–4	7–4	3–4	2–4	6–4	4–4	6–4	5–3	N/A	61–44
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	NME	2R	A	A	A	F	2R	SF	2R	2R	1R	1R	QF	A	0 / 9	9–8
Miami	NME	A	A	A	SF	SF	SF	SF	QF	3R	1R	QF	2R	A	0 / 9	17–9
Monte Carlo	NME	A	A	A	A	A	2R	A	A	A	A	A	A	A	0 / 1	0–1
Rome	NME	A	A	A	A	A	1R	W	F	A	A	QF	A	A	1 / 4	11–3
Hamburg	NME	A	A	A	A	A	F	A	A	A	A	2R	A	A	0 / 2	4–2
Canada	NME	A	A	A	2R	W	2R	QF	1R	1R	F	A	1R	A	1 / 8	9–7
Cincinnati	NME	A	A	A	A	QF	SF	QF	1R	1R	W	A	2R	A	1 / 7	10–6
Stuttgart (Stockholm)	NME	A	A	A	A	A	QF	2R	A	1R	W	A	A	A	1 / 4	5–3
Paris	NME	A	A	A	W	F	2R	SF	1R	2R	2R	1R	A	A	1/ 8	11–7
Masters Series SR	N/A	0 / 1	0 / 0	0 / 0	1 / 3	1 / 5	0 / 9	1 / 7	0 / 6	0 / 6	2 / 6	0 / 5	0 / 4	0 / 0	5 / 52	N/A
Annual Win-Loss	N/A	1–0	0–0	0–0	9–2	14–4	9–9	12–6	6–6	4–6	13–4	5–5	3–4	0–0	N/A	76–46
Year End Ranking	586	381	149	90	5	6	18	4	70	70	10	53	34	106	N/A	N/A
