Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1958	September 14	Speedy Thompson	Speedy Thompson	Chevrolet	200	100 (160.934)	1:43:40	57.878	Report
1959	September 13	Cotton Owens	W.H. Watson	T-Bird	200	100 (160.934)	1:39:22	60.362	Report
1960	October 23	Speedy Thompson	Wood Brothers Racing	Ford	200	100 (160.934)	1:34:08	63.739	Report
1961	September 10	Joe Weatherly	Bud Moore Engineering	Pontiac	250	125 (201.168)	2:01:36	61.677	Report
1962	September 9	Joe Weatherly	Bud Moore Engineering	Pontiac	300	150 (241.401)	2:18:30	64.981	Report
1963	September 8	Ned Jarrett	Charles Robinson	Ford	300	150 (241.401)	2:15:04	66.339	Report
1964	September 14	Cotton Owens	Cotton Owens	Dodge	300	150 (241.401)	2:25:16	61.955	Report
1965	September 18	David Pearson	Cotton Owens	Dodge	300	150 (241.401)	2:27:35	60.983	Report
1966	September 11	David Pearson	Cotton Owens	Dodge	300	150 (241.401)	2:23:07	62.886	Report
1967	September 10	Richard Petty	Petty Enterprises	Plymouth	300	150 (241.401)	2:36:10	57.631	Report
1968	September 8	Richard Petty	Petty Enterprises	Plymouth	300	187.5 (301.752)	2:11:20	85.659	Report
1969	September 7	Bobby Allison	Mario Rossi	Dodge	462	250.404 (402.986)	3:16:32	76.388	Report
1970	September 13	Richard Petty	Petty Enterprises	Plymouth	500	271 (436.132)	3:19:34	81.476	Report
1971	November 14	Richard Petty	Petty Enterprises	Plymouth	500	271 (436.132)	3:23:11	80.025	Report
1972	September 10	Richard Petty	Petty Enterprises	Plymouth	500	271 (436.132)	3:34:14	75.899	Report
1973	September 9	Richard Petty	Petty Enterprises	Dodge	500	271 (436.132)	4:13:17	63.215	Report
1974	September 8	Richard Petty	Petty Enterprises	Dodge	500	271 (436.132)	4:12:22	64.43	Report
1975	October 12	Darrell Waltrip	DiGard Motorsports	Chevrolet	500	271 (436.132)	3:18:34	81.886	Report
1976	September 12	Cale Yarborough	Junior Johnson & Associates	Chevrolet	400	216.8 (348.905)	2:46:47	77.993	Report
1977	September 11	Neil Bonnett	Jim Stacy	Dodge	400	216.8 (348.905)	2:41:18	80.644	Report
1978	September 10	Darrell Waltrip	DiGard Motorsports	Chevrolet	400	216.8 (348.905)	2:43:19	79.568	Report
1979	September 9	Bobby Allison	Bud Moore Engineering	Ford	400	216.8 (348.905)	2:41:23	80.604	Report
1980	September 7	Bobby Allison	Bud Moore Engineering	Ford	400	216.8 (348.905)	2:43:10	79.722	Report
1981	September 13	Benny Parsons	Bud Moore Engineering	Ford	400	216.8 (348.905)	3:05:50	69.998	Report
