Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	Tyrrell - Ford	79	1:43:11.07	16
Peter Revson	McLaren - Ford	79	+ 24.55	6
Emerson Fittipaldi	Lotus - Ford	79	+ 25.06	2
Arturo Merzario	Ferrari	78	+ 1 Lap	15
Denny Hulme	McLaren - Ford	77	+ 2 Laps	1
George Follmer	Shadow - Ford	77	+ 2 Laps	21
Carlos Reutemann	Brabham - Ford	77	+ 2 Laps	8
Andrea de Adamich	Surtees - Ford	77	+ 2 Laps	20
Jody Scheckter	McLaren - Ford	75	Engine	3
Howden Ganley	Iso Marlboro - Ford	73	+ 6 Laps	19
Ronnie Peterson	Lotus - Ford	73	+ 6 Laps	4
Carlos Pace	Surtees - Ford	69	Accident	9
Eddie Keizan	Tyrrell - Ford	67	Not Classified	22
Jean-Pierre Jarier	March - Ford	66	Not Classified	18
François Cevert	Tyrrell - Ford	66	Not Classified	25
Mike Beuttler	March - Ford	65	Not Classified	23
Wilson Fittipaldi	Brabham - Ford	52	Gearbox	17
Jackie Pretorius	Iso Marlboro - Ford	35	Overheating	24
Niki Lauda	BRM	26	Engine	10
Jackie Oliver	Shadow - Ford	14	Engine	14
Jean-Pierre Beltoise	BRM	4	Clutch	7
Dave Charlton	Lotus - Ford	3	Accident	13
Clay Regazzoni	BRM	2	Accident	5
Jacky Ickx	Ferrari	2	Accident	11
Mike Hailwood	Surtees - Ford	2	Accident	12
