Date (YYYY-MM-DD)	Time (UTC)	Latitude	Longitude	Depth	Magnitude
1997-09-26	0:33:12	43.048° N	12.879° E	km (mi)	5.7 (M w )
1997-09-26	11:40:26	43.084° N	12.812° E	km (mi)	6.1 (M w )
1997-09-26	9:47:38	43.163° N	12.752° E	km (mi)	4.7 (M L )
1997-10-03	8:55:21	43.075° N	12.794° E	km (mi)	5.3 (M w )
1997-10-06	23:24:52	43.045° N	12.835° E	km (mi)	5.5 (M w )
1997-10-12	11:08:36	42.901° N	12.897° E	km (mi)	5.3 (M L )
1997-10-14	15:23:10	42.962° N	12.892° E	km (mi)	5.6 (M L )
1997-11-09	19:07:33	42.903° N	12.948° E	km (mi)	5.0 (M L )
1998-03-26	16:26:11	43.255° N	12.969° E	km (mi)	5.4 (M w )
1998-04-03	7:26:36	43.164° N	12.701° E	km (mi)	5.2 (M w )
