No. in series	No. in season	Title	Directed by	Written by	Original air date
458	1	"Out of the Ashes"	Ian Gilmourn	Louise Crane-Bowes	3February2009
459	2	"Dreams and Nightmares"	Jet Wilkinson	Sean Nash	10February2009
460	3	"Day One"	Samantha Lang	Trent Atkinson	17February2009
461	4	"Sins of the Past"	Marcus Cole	Jenny and Lesley Lewis	24February2009
462	5	"Evil is As Evil Does"	Jean-Pierre Mignon	Denise Morgan	3March2009
463	6	"Facing the Music"	Nicholas Buffalo	Michael Miller	10March2009
464	7	"Awake in Fright"	Daniel Nettheim	Lily Taylor	17March2009
465	8	"Behind Closed Doors"	Jet Wilkinson	Sally Webb	24March2009
466	9	"Danger Zone"	Ian Gilmourn	Fiona Kelly	31March2009
467	10	"Pushed Too Far"	Marcus Cole	Chris McCourt & Linda Stainton	21April2009
468	11	"Handle with Care"	Jean-Pierre Mignon	Andrew Kelly	28April2009
469	12	"The Devil Within"	Cherie Nowlan	Sean Nash	5May2009
470	13	"Give & Take"	Ian Watson	Trent Atkinson	12May2009
471	14	"When the Bough Breaks"	Lynn-Maree Danzey	Jeff Truman	19May2009
472	15	"Seeing the Light"	Ian Gilmourn	Alexa Wyatt	26May2009
473	16	"We All Fall Down"	Geoff Bennett	Clare Atkinson	2June2009
474	17	"Bodies in Motion"	Jet Wilkinson	Lily Taylor	9June2009
475	18	"On Second Thoughts..."	Ian Watson	Sally Webb	16June2009
476	19	"Starting Over"	Marcus Cole	Fiona Kelly	23June2009
477	20	"Curve Balls"	Lynn-Maree Danzey	Chris McCourt	30June2009
478	21	"Test of Faith"	Ian Gilmourn	Blake Ayshford	7July2009
479	22	"Blood is Thicker"	Jean-Pierre Mignon	Martin McKenna	14July2009
480	23	"Out of Control"	Jet Wilkinson	Lesley and Jenny Lewis	21July2009
481	24	"In Trust"	Di Drew	Trent Atkinson	28July2009
482	25	"In Duty Bound"	Marcus Cole	Denise Morgan	4August2009
483	26	"The Waiting Game"	Lynn-Maree Danzey	Lily Taylor	11August2009
484	27	"A Precious Waste"	Ian Gilmourn	Clare Atkinson	18August2009
485	28	"Tell-Tale Hearts"	Jean-Pierre Mignon	Trent Atkinson	25August2009
486	29	"Moving On"	Jet Wilkinson	Fiona and Andrew Kelly	1September2009
487	30	"Safe Haven"	Scott Hartford Davis	Chris McCourt	8September2009
488	31	"Win Some, Lose Some"	Marcus Cole	Andrew Kelly	15September2009
489	32	"What It Takes"	Lynn-Maree Danzey	Trent Atkinson	22September2009
490	33	"Too Close for Comfort"	Jean-Pierre Mignon	Jenny Lewis & Hamish Cameron	29September2009
491	34	"Damned If You Do"	Pino Amenta	Martin McKenna	6October2009
492	35	"The Two of Us"	Jet Wilkinson	Kim Wilson & Luke Devenish	13October2009
493	36	"Reality Check"	Di Drew	Blake Ayshford	20October2009
