County	Per capita income	Median household income	Median family income	Population	Number of households
Platte	$34,037	$65,948	$79,472	89,322	36,103
St. Louis County	$33,344	$57,561	$73,910	998,954	404,765
St. Charles	$30,664	$70,331	$82,226	360,485	134,274
Clay	$28,204	$58,559	$71,009	221,939	87,217
United States	$27,334	$51,914	$62,982	308,745,538	116,716,292
Cass	$26,326	$60,097	$67,426	99,478	37,150
Cole	$25,935	$53,877	$69,964	75,990	29,722
Camden	$25,509	$44,617	$49,863	44,002	19,068
Ray	$25,244	$53,343	$62,143	23,494	8,957
Jackson	$25,213	$46,252	$58,831	674,158	274,804
Boone	$25,124	$45,786	$64,616	162,642	64,077
Carroll	$25,021	$41,619	$54,276	9,295	3,865
Missouri	$24,724	$46,262	$57,661	5,988,927	2,375,611
Clinton	$24,629	$51,915	$60,392	20,743	7,951
Jefferson	$24,586	$56,756	$65,671	218,733	81,700
Warren	$24,358	$50,231	$64,817	32,513	12,339
Andrew	$24,009	$52,720	$62,706	17,291	6,700
Christian	$23,720	$51,135	$58,320	77,422	29,077
Atchison	$23,659	$42,375	$54,683	5,685	2,498
Greene	$23,443	$41,059	$53,044	275,174	114,244
Franklin	$23,365	$49,120	$59,092	101,492	39,170
Lafayette	$23,043	$48,257	$58,477	33,381	13,022
Cape Girardeau	$23,014	$44,479	$54,174	75,674	29,848
Ste. Genevieve	$22,665	$46,911	$53,407	18,145	7,040
Ralls	$22,605	$45,194	$54,529	10,167	4,091
Callaway	$22,602	$49,544	$59,161	44,332	16,333
Perry	$22,200	$45,713	$54,983	18,971	7,357
Lincoln	$21,862	$52,897	$60,362	52,566	18,906
Howard	$21,829	$42,067	$53,233	10,144	3,981
Stone	$21,748	$41,351	$46,989	32,202	13,690
Holt	$21,666	$40,261	$48,333	4,912	2,133
Buchanan	$21,638	$42,393	$52,965	89,201	34,509
Osage	$21,484	$45,746	$55,813	13,878	5,328
Taney	$21,474	$39,026	$47,680	51,675	20,755
St. Louis City	$21,406	$33,652	$41,395	319,294	142,057
Gasconade	$21,240	$40,837	$50,022	15,222	6,250
Stoddard	$20,911	$35,932	$45,928	29,968	12,255
Newton	$20,832	$41,163	$48,499	58,114	22,021
Phelps	$20,817	$40,260	$52,229	45,156	17,564
Linn	$20,742	$37,706	$48,049	12,761	5,299
Marion	$20,718	$40,859	$51,896	28,781	11,377
Johnson	$20,405	$44,985	$56,958	52,595	19,311
Henry	$20,304	$35,706	$46,415	22,272	9,405
Livingston	$20,295	$39,683	$53,325	15,195	5,871
Putnam	$20,005	$34,545	$42,971	4,979	2,132
Chariton	$19,978	$41,558	$53,641	7,831	3,242
Benton	$19,955	$33,305	$42,862	19,056	8,449
Daviess	$19,900	$39,925	$48,839	8,433	3,214
Jasper	$19,899	$37,894	$45,284	117,404	45,639
Scotland	$19,895	$39,722	$50,574	4,843	1,880
Laclede	$19,858	$37,294	$43,132	35,571	14,081
Monroe	$19,834	$38,750	$48,604	8,840	3,638
Pulaski	$19,800	$43,155	$53,304	52,274	16,004
