Player	Position	Tries	Goals	Points
Robbie Paul	Fullback	23	0	92
Tevita Vaikona	Wing	25	0	100
Leon Pryce	Centre	16	0	64
Nathan McAvoy	Centre	4	0	16
Michael Withers	Fullback	31	0	124
Henry Paul	Stand Off	9	208	457
Paul Deacon	Scrum Half	6	29	86
Joe Vagana	Prop	2	0	8
James Lowes	Hooker	13	0	53
Paul Anderson	Prop	8	0	32
Daniel Gartner	Second Row	14	0	56
Mike Forshaw	Loose Forward	6	0	24
Lee Gilmour	Second Row	8	0	32
Shane Rigon	Centre	12	0	48
Alex Wilkinson	Wing	0	0	0
Lee Radford	Prop	2	0	8
Jamie Peacock	Second Row	8	0	32
Scott Naylor	Centre	14	0	56
Brian McDermott	Prop	3	0	12
Graham Mackay	Wing	12	1	50
Paul Sykes	Centre	0	0	0
Rob Parker	Prop	0	0	0
Stuart Spruce	Fullback	6	0	24
Stuart Fielden	Prop	3	0	12
