Rank	Badge/Serial Number	Tenure	Date of death	Cause of death
City Marshal	—	—	1853	Gunfire
City Marshal /Police Chief	—	—	1870-10-31	Gunfire
Policeman	—	1 year	1907-02-28	Gunfire
Policeman	—	4 months	1907-11-30	Gunfire
Captain	—	21 years	1908-09-09	Gunfire
Policeman	—	—	1910-04-08	Gunfire
Policeman	—	—	1911-05-25	Gunfire
Policeman	—	—	1911-06-08	Struck by train
Policeman	—	—	1911-11-27	Car accident
Policeman	—	—	1911-12-25	Gunfire
Policeman	—	—	1914-03-31	Struck by streetcar
Policeman	—	—	1914-09-23	Gunfire
Sergeant	—	9 years	1915-10-19	Gunfire
Detective Lieutenant	—	—	1915-11-29	Gunfire
Policeman	—	—	1916-03-28	Motorcycle accident
Detective	—	8 years, 10 months	1916-06-17	Heatstroke
Policeman	—	12 years	1916-12-15	Gunfire
Policeman	—	—	1917-09-04	Car accident
Lieutenant	—	—	1917-11-13	Fall
Policeman	—	—	1917-11-21	Fire
Policeman	—	—	1919-02-18	Gunfire
Policeman	—	—	1919-08-27	Motorcycle accident
Policeman	—	—	1919-09-22	Car accident
Policeman	—	—	1920-05-21	Car accident
Policeman	—	—	1920-05-24	Gunfire
Policeman	—	—	1920-06-15	Motorcycle accident
Policeman	—	—	1921-02-11	Motorcycle accident
Detective Sergeant	—	—	1921-06-18	Gunfire
Policeman	—	—	1921-12-06	Gunfire
Detective Sergeant	—	—	1922-04-08	Car accident
Policeman	—	—	1922-11-04	Gunfire
Policeman	567	3 years	1923-01-13	Gunfire
Policeman	—	—	1923-01-22	Gunfire
Policeman	468	3 years	1923-01-22	Struck by train
Policeman	—	—	1924-01-11	Car accident
Policeman	—	—	1924-02-20	Gunfire
Policeman	—	—	1924-07-27	Motorcycle accident
Policeman	—	—	1924-08-20	Gunfire
Policeman	—	—	1924-08-24	Gunfire
Policeman	—	—	1925-04-11	Motorcycle accident
Policeman	—	—	1925-08-22	Gunfire
Policeman	—	—	1926-02-08	Gunfire
Policeman	—	—	1926-02-23	Gunfire (accidental)
Policeman	—	—	1926-03-14	Gunfire
Policeman	—	—	1926-05-16	Car accident
Policeman	—	—	1927-01-23	Motorcycle accident
Policeman	—	2 years, 6 months	1927-01-25	Gunfire
Policeman	—	3 years	1927-03-23	Gunfire
Sergeant	—	—	1927-07-07	Struck by vehicle
Policeman	—	—	1928-03-28	Gunfire
Policeman	—	—	1928-09-29	Gunfire
Policeman	—	—	1929-02-27	Car accident
Policeman	—	—	1929-04-18	Car accident
Policeman	—	—	1930-03-31	Gunfire
Policeman	—	10 years	1930-04-13	Gunfire
Policeman	—	—	1930-05-10	Gunfire
Policeman	—	—	1931-01-28	Gunfire
Policeman	—	—	1931-03-01	Motorcycle accident
Policeman	—	—	1932-01-11	Gunfire
Policeman	—	—	1932-04-28	Gunfire
Detective Lieutenant	—	—	1932-12-20	Gunfire
Policeman	—	—	1933-10-21	Car accident
Policeman	—	—	1934-07-24	Gunfire
Policeman	—	—	1935-06-16	Motorcycle accident
Policeman	—	—	1935-10-20	Gunfire
Policeman	97	12 years, 6 months	1936-02-17	Gunfire
Sergeant	—	—	1936-11-09	Struck by train
Policeman	—	—	1937-03-10	Motorcycle accident
Policeman	—	14 years	1937-07-09	Struck by train
Policeman	—	—	1937-08-30	Car accident
Policeman	—	18 years	1938-01-18	Struck by vehicle
Lieutenant	—	—	1938-05-22	Gunfire
Policeman	—	—	1938-09-09	Car accident
Lieutenant	—	—	1939-01-12	Motorcycle accident
Policeman	—	—	1939-09-13	Motorcycle accident
Policeman	—	—	1940-05-26	Electrocution (accidental)
Policeman	1959	—	1941-07-15	Car accident
Policeman	405	16 years	1941-08-18	Motorcycle accident
Policeman	469	—	1941-09-24	Car accident
Policeman	2472	—	1941-12-25	Motorcycle accident
Detective	277	—	1942-03-08	Gunfire
Policeman	496	—	1942-12-31	Gunfire
Policeman	2015	—	1944-03-04	Heart attack
Sergeant	232	—	1945-03-16	Gunfire (accidental)
Sergeant	2440	—	1945-10-14	Motorcycle accident
Policeman	7425	—	1945-12-31	Gunfire
Policeman	2650	—	1946-02-01	Gunfire
Policeman	1125	18 years	1946-02-04	Gunfire
Reserve Policeman	—	—	1946-08-07	Gunfire
Policeman	7605	—	1947-04-04	Gunfire
Policeman	3641	—	1947-10-07	Motorcycle accident
Policeman	3757	—	1947-12-05	Gunfire
Policeman	3378	—	1948-12-06	Gunfire
Detective Sergeant	1364	21 years	1949-05-16	Gunfire
Policeman	5049	3 years	1950-05-11	Gunfire
Policeman	3277	—	1950-07-08	Motorcycle accident
Policeman	5043	—	1950-10-21	Motorcycle accident
Policeman	4602	—	1951-04-05	Motorcycle accident
Policeman	4230	—	1951-09-30	Motorcycle accident
Sergeant	3969	—	1952-02-15	Gunfire
Policeman	2942	—	1952-03-03	Car accident
Policeman	3975	—	1952-08-24	Motorcycle accident
Policeman	4350	—	1954-06-22	Car accident
Detective	1007	—	1955-02-22	Car accident
Policeman	4227	10 years	1956-09-07	Motorcycle accident
Policeman	—	11 years	1957-01-13	Heart attack
Policeman	5298	—	1957-03-17	Gunfire
Policeman	3890	—	1957-10-14	Gunfire
Policeman	—	—	1958-06-20	Gunfire
Policeman	7044	—	1958-07-26	Car accident
Detective Sergeant	5771	—	1958-10-20	Gunfire
Detective	6517	—	1959-03-05	Gunfire
Policeman	3860	—	1959-04-05	Gunfire
Policeman	5787	—	1959-05-04	Car accident
Policeman	7488	—	1959-12-26	Motorcycle accident
Policeman	7169	2 years	1960-12-08	Gunfire
Policeman	4299	15 years	1961-05-06	Gunfire
Policeman	6935	—	1960-09-14	Motorcycle accident
Policeman	5976	—	1961-11-30	Motorcycle accident
Policeman	10733	1 year, 5 months	1962-07-26	Vehicular assault
Policeman	10046	—	1963-03-09	Gunfire
Detective	6221	—	1964-02-01	Gunfire
Detective Sergeant	6078	—	1964-02-01	Gunfire
Sergeant	6090	—	1964-11-30	Helicopter accident
Policeman	12151	11 months	1965-10-06	Gunfire
Policeman M/C Officer	10395	—	1966-03-02	Struck by drunk driver
Sergeant	12613	—	1966-08-29	Vehicular assault
Policeman	3490	—	1966-08-30	Helicopter accident
Policeman	10668	4 years, 7 months	1966-08-30	Helicopter accident
Policeman	10657	6 years	1966-10-27	Gunfire
Policeman	433	1 month	1967-05-08	Gunfire
Policeman	11895	3 years	1968-02-10	Struck by vehicle
Policeman	12111	4 years	1968-02-10	Gunfire
Policeman	14037	2 days	1968-09-09	Gunfire
Policeman	13991	1 year, 3 months	1969-07-31	Gunfire
Policeman	14317	—	1969-08-19	Gunfire
Policeman	14169	2 years	1970-04-23	Gunfire
Policeman	13031	—	1970-08-18	Car accident
Policeman	14745	—	1971-10-21	Gunfire
Policeman	16849	—	1972-03-27	Car accident
Policeman	12552	—	1973-03-23	Gunfire
Policeman	10285	14 years	1973-06-21	Gunfire
Policeman	10502	13 years	1973-07-09	Motorcycle accident
Detective	11797	—	1973-11-06	Gunfire
Officer	15444	5 years	1974-05-11	Gunfire
Commander	6435	—	1974-05-29	Helicopter accident
Officer	14028	—	1975-01-19	Motorcycle accident
Officer	16208	5 years	1975-09-22	Vehicle pursuit
Officer	15485	9 years	1976-02-12	Gunfire
Officer	14388	7 years	1976-06-11	Helicopter accident
Officer	12035	12 years	1976-08-17	Gunfire
Officer	21939	—	1977-10-21	Gunfire
Officer	14818	10 years	1979-08-02	Vehicular assault
Officer	22123	1 year, 6 months	1979-09-27	Gunfire
Detective	11389	—	1980-03-10	Gunfire (accidental)
Officer	—	17 years	1980-11-26	Heart attack
Officer	22154	—	1981-05-31	Car accident
Officer	13383	—	1982-10-10	Gunfire
Reserve Officer	—	—	1983-03-01	Helicopter accident
Officer	15086	—	1983-06-02	Gunfire
Officer	12023	—	1983-10-22	Motorcycle accident
Officer	21730	—	1983-10-29	Vehicular assault
Officer	22205	—	1983-10-29	Vehicular assault
Officer	23431	3 years	1984-12-19	Gunfire
Detective	17491	13 years	1985-10-31	Gunfire
Detective	12241	—	1986-02-08	Explosives ; Pipe bomb
Officer	15323	—	1986-02-08	Explosives ; Pipe bomb
Officer	14473	—	1987-06-02	Motorcycle accident
Officer III	23759	5 years	1987-06-22	Gunfire
Officer	25532	9 months	1988-06-07	Gunfire
Officer	23800	6 months	1988-09-03	Gunfire
Officer	25472	—	1988-12-12	Car accident
Officer	24654	—	1988-12-12	Car accident
Officer	24984	—	1988-12-12	Car accident
Detective	16032	19 years	1989-04-19	Gunfire
Detective	11755	9 years	1989-12-27	Gunfire
Detective	12884	24 years, 6 months	1990-10-09	Gunfire
Officer	27606	10 months	1991-02-11	Gunfire
Officer	20393	17 years	1991-06-13	Helicopter accident
Officer	16805	20 years	1991-06-13	Helicopter accident
Detective	20625	18 years, 6 months	1991-06-13	Gunfire
Officer	22940	11 years, 6 months	1991-10-22	Motorcycle accident
Officer	24558	8 years, 6 months	1992-12-16	Motorcycle accident
Officer	24216	10 years	1993-01-20	Bicycle accident
Officer	13994	26 years	1994-01-17	Motorcycle accident
Officer	30433	2 months	1994-02-22	Gunfire
Officer	24265	11 years	1994-10-22	Gunfire
Officer	31314	1 year	1995-11-04	Vehicular assault
Officer II	31588	1 year	1996-12-22	Gunfire
Officer II	25561	9 years	1997-02-05	Motorcycle accident
Officer II	27686	7 years	1998-01-01	Gunfire
Officer II	30753	4 years	1998-08-09	Gunfire
Officer III	32054	3 years	1998-11-29	Gunfire
Officer III	16237	29 years	2000-03-17	Fall
Officer II	32571	6 years	2000-09-19	Car accident
Officer	26827	3 years	2001-12-09	Gunfire (accidental)
Detective I	24314	19 years	2003-06-25	Car accident
Officer	36046	2 years, 6 months	2004-02-20	Gunfire
Officer II	37029	9 years, 6 months	2006-10-22	Car accident
Officer III+I	22885	27 years	2008-02-07	Gunfire
Officer III	35928	7 years, 7 months	2008-09-12	Train accident
