No.	#	Original airdate	Performer 1	Performer 2	Performer 3	Performer 4
199	1	October3,2005	Wayne Brady	Denny Siegel	Colin Mochrie	Ryan Stiles
200	2	October10,2005	Wayne Brady	Chip Esten	Colin Mochrie	Ryan Stiles
201	3	October17,2005	Brad Sherwood	Patrick Bristow	Colin Mochrie	Ryan Stiles
202	4	November7,2005	Greg Proops	Wayne Brady	Colin Mochrie	Ryan Stiles
203	5	November21,2005	Wayne Brady	Kathy Greenwood	Colin Mochrie	Ryan Stiles
204	6	December12,2005	Brad Sherwood	Wayne Brady	Colin Mochrie	Ryan Stiles
205	7	March20,2006	Wayne Brady	Denny Siegel	Colin Mochrie	Ryan Stiles
206	8	March21,2006	Brad Sherwood	Wayne Brady	Colin Mochrie	Ryan Stiles
207	9	March22,2006	Wayne Brady	Stephen Colbert	Colin Mochrie	Ryan Stiles
208	10	March23,2006	Greg Proops	Wayne Brady	Colin Mochrie	Ryan Stiles
209	11	March24,2006	Brad Sherwood	Wayne Brady	Colin Mochrie	Ryan Stiles
210	12	November6,2006	Brad Sherwood	Wayne Brady	Colin Mochrie	Ryan Stiles
211	13	November7,2006	Wayne Brady	Denny Siegel	Colin Mochrie	Ryan Stiles
212	14	November8,2006	Brad Sherwood	Ian Gomez	Colin Mochrie	Ryan Stiles
213	15	November9,2006	Brad Sherwood	Patrick Bristow	Colin Mochrie	Ryan Stiles
214	16	November10,2006	Greg Proops	Wayne Brady	Colin Mochrie	Ryan Stiles
215	17	December4,2007	Wayne Brady	Kathy Greenwood	Colin Mochrie	Ryan Stiles
216	18	December13,2007	Wayne Brady	Jeff Davis	Colin Mochrie	Ryan Stiles
217	19	December14,2007	Greg Proops	Wayne Brady	Colin Mochrie	Ryan Stiles
218	20	December15,2007	Brad Sherwood	Wayne Brady	Colin Mochrie	Ryan Stiles
