Year	Wins	Losses	Percentage	Finish
1897	49	76	.392	7th
1898	68	48	.586	1st
1899	62	51	.549	2nd
1900	54	72	.429	7th
1901	65	67	.492	6th
1902	59	77	.434	6th
1903	37	95	.280	7th
1904	67	62	.519	5th
1905	56	80	.412	6th
1906	57	83	.407	7th
1907	46	85	.351	8th
1908	64	75	.461	5th
1909	68	83	.450	6th
1910	71	80	.470	5th
1911	72	80	.474	5th
1912	71	81	.467	6th
1913	74	77	.490	5th
1914	60	89	.403	7th
1915	67	70	.489	5th
1916	75	64	.539	3rd
1917	56	94	.373	7th
1928	84	84	.500	5th
1929	88	79	.527	4th
1930	96	72	.571	3rd
1931	85	80	.515	4th
1932	90	78	.536	4th
1933	81	84	.490	6th
1934	73	77	.487	6th
1935	92	62	.597	1st
1936	71	81	.467	6th
1937	82	67	.550	2nd
1938	69	84	.451	6th
1939	64	88	.421	7th
1940	80	80	.500	5th
1941	90	64	.584	2nd
1942	82	71	.536	2nd
1943	76	76	.500	4th
1944	73	80	.477	6th
1945	95	58	.621	1st
1946	100	54	.649	1st
1947	93	60	.608	2nd
1948	94	59	.614	1st
1949	84	70	.545	3rd
1950	86	67	.562	2nd
1951	95	59	.617	1st
1952	95	56	.629	1st
1953	89	63	586	2nd
1954	88	66	.571	2nd
1955	95	59	.617	1st
1956	80	72	.526	4th
1957	68	86	.442	8th
1958	90	63	.588	1st
1959	72	82	.468	6th
1960	62	92	.403	8th
