County or City	Per capita income	Median household income	Median family income	Population	Number of households
Arlington	$57,724	$94,880	$126,947	207,627	98,050
Falls Church	$55,389	$114,409	$142,035	12,332	5,101
Alexandria	$54,345	$80,847	$102,017	139,966	68,082
Fairfax	$49,001	$105,416	$124,316	1,081,726	391,627
Loudoun	$45,356	$115,574	$130,432	312,311	104,583
Fairfax	$44,008	$97,900	$110,240	22,565	8,347
Fauquier	$38,710	$83,877	$97,548	65,203	23,658
Goochland	$38,553	$79,574	$91,500	21,717	7,998
James City	$38,162	$73,903	$86,756	67,009	26,860
Rappahannock	$37,149	$62,117	$75,975	7,373	3,072
Poquoson	$36,840	$84,315	$92,479	12,150	4,525
Albemarle	$36,685	$64,847	$83,894	98,970	38,157
York	$35,823	$81,055	$92,597	65,464	24,006
Prince William	$35,737	$91,098	$99,494	402,002	130,785
Stafford	$34,691	$93,065	$101,321	128,961	41,769
Clarke	$34,630	$73,244	$85,946	14,034	5,509
Hanover	$34,201	$76,425	$87,756	99,863	36,589
Henrico	$33,001	$60,114	$75,140	306,935	124,601
King George	$32,630	$76,241	$87,155	23,584	8,376
Virginia	$32,145	$61,406	$73,514	8,001,024	3,056,058
New Kent	$31,741	$70,590	$78,718	18,429	6,813
Chesterfield	$31,711	$71,321	$82,226	316,236	115,680
Roanoke	$31,046	$59,446	$74,660	92,376	37,608
Spotsylvania	$31,012	$76,574	$84,723	122,397	41,942
Virginia Beach	$30,873	$64,618	$73,795	437,994	165,089
Isle of Wight	$29,547	$62,242	$71,732	35,270	13,718
Botetourt	$29,540	$64,724	$73,032	33,148	13,126
Fluvanna	$29,407	$68,223	$74,529	25,691	9,449
Chesapeake	$29,306	$67,855	$77,561	222,209	79,574
Lancaster	$29,275	$45,209	$55,083	11,391	5,265
Warren	$29,098	$60,522	$72,370	37,575	14,085
Manassas	$28,941	$75,173	$79,893	37,821	12,527
Northumberland	$28,646	$51,944	$60,872	12,330	5,540
Middlesex	$28,539	$50,207	$63,750	10,959	4,708
Suffolk	$28,441	$65,104	$76,586	84,585	30,868
Frederick	$27,977	$61,973	$68,771	78,305	28,864
Fredericksburg	$27,870	$43,558	$65,699	24,286	9,505
Bedford	$27,732	$54,110	$65,508	68,676	27,465
Louisa	$27,562	$54,257	$62,703	33,153	12,944
Culpeper	$27,507	$65,132	$75,462	46,689	16,231
Westmoreland	$27,501	$52,990	$59,613	17,454	7,310
Gloucester	$27,395	$59,331	$68,461	36,858	14,293
Manassas Park	$27,335	$70,299	$75,333	14,273	4,507
United States	$27,334	$51,914	$62,982	308,745,538	116,716,292
Salem	$27,081	$48,828	$64,254	24,802	10,045
Mathews	$27,011	$47,435	$55,853	8,978	3,858
Nelson	$26,996	$48,118	$57,356	15,020	6,396
King William	$26,853	$64,946	$75,260	15,935	5,979
Orange	$26,447	$54,916	$63,886	33,481	12,895
Winchester	$26,341	$44,873	$56,260	26,203	10,607
Colonial Heights	$26,115	$50,571	$64,154	17,411	7,275
Madison	$26,081	$56,608	$65,164	13,308	5,083
Richmond	$26,034	$38,266	$47,364	204,214	87,151
Powhatan	$25,851	$73,593	$81,476	28,046	9,494
Prince George	$25,769	$64,171	$71,769	35,725	11,451
Highland	$25,690	$43,481	$51,326	2,321	1,081
Rockingham	$25,274	$49,930	$58,067	76,314	29,177
Caroline	$25,024	$57,690	$65,949	28,545	10,456
Greene	$24,969	$54,307	$60,414	18,403	6,780
Charlottesville	$24,578	$42,240	$62,378	43,475	17,778
Shenandoah	$24,502	$50,171	$61,363	41,993	17,076
Newport News	$24,249	$49,562	$57,969	180,719	70,664
Amelia	$24,197	$50,135	$58,029	12,690	4,821
Norton	$24,145	$33,944	$49,775	3,958	1,750
Staunton	$24,077	$42,724	$57,842	23,746	10,480
Hampton	$24,051	$49,815	$61,310	137,436	55,031
Charles City	$23,955	$46,337	$54,536	7,256	2,955
Surry	$23,835	$55,030	$67,995	7,058	2,826
Essex	$23,795	$46,235	$52,810	11,151	4,517
Norfolk	$23,773	$42,677	$51,022	242,803	86,485
Rockbridge	$23,753	$44,417	$53,889	22,307	9,555
Augusta	$23,571	$50,612	$60,506	73,750	28,516
Franklin	$23,527	$45,555	$53,066	56,159	22,780
Washington	$23,488	$40,422	$51,276	54,876	22,843
Craig	$23,461	$51,291	$63,134	5,190	2,183
Dinwiddle	$23,423	$51,459	$60,400	28,001	10,504
