Season	Date	Winning Driver	Car #	Sponsor	Make	Distance	Avg Speed	Margin of Victory
1997	April 6	Jeff Burton	99	Exide Batteries	Ford Thunderbird	mi (km)	mph (km/h)	4.067 sec
1998	April 5	Mark Martin	6	Valvoline	Ford Taurus	mi (km)	mph (km/h)	0.573 sec
1999	March 28	Terry Labonte	5	Kellogg's	Chevrolet Monte Carlo	mi (km)	mph (km/h)	UC
2000	April 2	Dale Earnhardt Jr	8	Budweiser	Chevrolet Monte Carlo	mi (km)	mph (km/h)	5.920 sec
2001	April 1	Dale Jarrett	88	UPS	Ford Taurus	mi (km)	mph (km/h)	0.73 sec
2002	April 8	Matt Kenseth	17	DeWalt	Ford Taurus	mi (km)	mph (km/h)	0.888 sec
2003	March 30	Ryan Newman	12	Alltel	Dodge Intrepid	mi (km)	mph (km/h)	3.405 sec
2004	April 4	Elliott Sadler	38	M&Ms	Ford Taurus	mi (km)	mph (km/h)	0.028 sec
2005	April 17	Greg Biffle	16	Post-it / National Guard	Ford Taurus	mi (km)	mph (km/h)	3.244 sec
2005	November 6	Carl Edwards	99	Office Depot	Ford Taurus	mi (km)	mph (km/h)	0.584 sec
2006	April 9	Kasey Kahne	9	Dodge Dealers / UAW	Dodge Charger	mi (km)	mph (km/h)	5.229 sec
2006	November 5	Tony Stewart	20	Home Depot	Chevrolet Monte Carlo SS	mi (km)*	mph (km/h)	0.272 sec
2007	April 15	Jeff Burton	31	Prilosec OTC	Chevrolet Monte Carlo SS	mi (km)	mph (km/h)	0.410 sec
2007	November 4	Jimmie Johnson	48	Lowe's / Kobalt	Chevrolet Monte Carlo SS	mi (km)	mph (km/h)	0.944 sec
2008	April 6	Carl Edwards	99	Aflac	Ford Fusion	mi (km)*	mph (km/h)	0.399 sec
2008	November 2	Carl Edwards	99	Office Depot	Ford Fusion	mi (km)	mph (km/h)	8.310 sec
2009	April 5	Jeff Gordon	24	DuPont / National Guard GED Plus	Chevrolet Impala SS	mi (km)	mph (km/h)	0.378 sec
2009	November 8	Kurt Busch	2	Miller Lite Operation Homefront	Dodge Charger	mi (km)	mph (km/h)	25.686 sec
2010	April 19	Denny Hamlin	11	FedEx Ground	Toyota Camry	mi (km)	mph (km/h)	0.152 sec
2010	November 7	Denny Hamlin	11	FedEx Office	Toyota Camry	mi (km)	mph (km/h)	0.488 sec
2011	April 9	Matt Kenseth	17	Crown Royal Black	Ford Fusion	mi (km)	mph (km/h)	8.315 sec
2011	November 6	Tony Stewart	14	Office Depot	Chevrolet Impala	mi (km)	mph (km/h)	1.092 sec
2012	April 14	Greg Biffle	16	3M/Filtrete Filters	Ford Fusion	mi (km)	mph (km/h)	3.235 sec
2012	November 4	Jimmie Johnson	48	Lowe's	Chevrolet Impala	mi (km)*	mph (km/h)	0.808 sec
2013	April 13	Kyle Busch	18	Interstate Batteries	Toyota Camry	mi (km)	mph (km/h)	0.508 sec
