Match No.	Home Team	Score	Away Team	Attendance
35	Consadole Sapporo	3-1 ( a.e.t. )	Nippon Steel Oita F.C.	2,353
36	Honda F.C.	1-0	Kochi University	605
37	Ehime F.C.	2-0	Biwako Seikei Sport College	1,504
38	Sagan Tosu	4-3	Ritsumeikan University	1,679
39	Montedio Yamagata	6-2	Mitsubishi Motors Mizushima F.C.	1,804
40	Shonan Bellmare	4-1	Kansai University	1,167
41	Thespa Kusatsu	3-0	F.C. Gifu	2,650
42	Tokushima Vortis	4-1	Miyazaki Sangyo-keiei University	831
43	Yokohama F.C.	0-1	Banditonce Kobe	2,011
44	Tokyo Verdy 1969	0-1	Tochigi S.C.	3,023
45	Vegalta Sendai	1-0	Rosso Kumamoto	6,007
46	Mito HollyHock	0-1	Shizuoka F.C.	1,016
47	Vissel Kobe	2-4	YKK AP F.C.	3,551
48	Kashiwa Reysol	3-0	Hosei University	2,752
