Week	Date	Opponent	Location	Final Score	Attendance	Record
1	July 10	Alouettes	SkyDome	L 15 – 12	21028	0–1
2	July 15	@ Blue Bombers	Canad Inns Stadium	L 47 – 27	18025	0–2
3	July 23	Tiger-Cats	SkyDome	W 24 – 21	25558	1–2
4	July 30	@ Roughriders	Taylor Field	L 20 – 15	18256	1–3
5	August 6	Blue Bombers	SkyDome	W 40 – 7	21308	2–3
6	August 12	@ Lions	BC Place Stadium	W 28 – 26	20586	3–3
7	August 20	Alouettes	SkyDome	W 23 – 20	20152	4–3
8	August 27	@ Alouettes	Molson Stadium	L 20 – 5	19461	4–4
9	September 6	@ Tiger-Cats	Ivor Wynne Stadium	L 35 – 28	28895	4–5
10	September 11	Roughriders	SkyDome	W 28 – 3	17216	5–5
11	September 18	@ Stampeders	McMahon Stadium	L 29 – 26	32883	5–6
12	September 26	@ Eskimos	Commonwealth Stadium	W 20 – 16	31085	6–6
13	October 2	Lions	SkyDome	L 28 – 19	21084	6–7
14	October 9	Stampeders	SkyDome	W 24 – 13	20036	7–7
15	October 16 †	@ Tiger-Cats	Ivor Wynne Stadium	L 18 – 2	23832	7–8
16	October 22	Blue Bombers	SkyDome	W 32 – 22	23632	8–8
17	October 29	@ Blue Bombers	Canad Inns Stadium	L 18 – 13	27043	8–9
