Station	Japanese	Distance (km)	Rapid	Location
Fukui ※	福井駅	0.0	●	Fukui
Shin-Fukui	新福井駅	0.5	●	Fukui
Fukuiguchi ※	福井口駅	1.5	●	Fukui
Echizen-Kaihotsu ※	越前開発駅	2.4	●	Fukui
Echizen-Shinbo ※	越前新保駅	3.4	●	Fukui
Oiwakeguchi	追分口駅	4.4	●	Fukui
Higashi-Fujishima	東藤島駅	5.3	●	Fukui
Echizen-Shimabashi	越前島橋駅	6.0	●	Fukui
Kannonmachi ※	観音町駅	7.3	●	Eiheiji , Yoshida District
Matsuoka ※	松岡駅	8.4	●	Eiheiji , Yoshida District
Shiizakai	志比堺駅	9.3	｜	Eiheiji , Yoshida District
Eiheijiguchi ※	永平寺口駅	10.9	●	Eiheiji , Yoshida District
Shimoshii	下志比駅	11.9	｜	Eiheiji , Yoshida District
Kōmyōji	光明寺駅	12.7	｜	Eiheiji , Yoshida District
Domeki	轟駅	14.2	｜	Eiheiji , Yoshida District
Echizen-Nonaka	越前野中駅	15.7	｜	Eiheiji , Yoshida District
Sannō ※	山王駅	17.2	●	Eiheiji , Yoshida District
Echizen-Takehara	越前竹原駅	19.3	●	Eiheiji , Yoshida District
Kobunato	小舟渡駅	21.2	｜	Eiheiji , Yoshida District
Hota	保田駅	23.1	｜	Katsuyama
Hossaka	発坂駅	24.5	●	Katsuyama
Hishima	比島駅	26.4	▲	Katsuyama
Katsuyama ※	勝山駅	27.8	●	Katsuyama
