Motorway	County	Length	Section	Scheduled completion
A1	Split-Dalmatia and Dubrovnik-Neretva	10.7km (6.6mi)	Vrgorac – Ploče	2013
A1	Dubrovnik-Neretva	4.5km (2.8mi)	Ploče – Metković	2013
A5	Osijek-Baranja	2.5km (1.55mi)	Drava Bridge	2014
A5	Brod-Posavina	3.1km (1.9mi)	Svilaj border crossing– Sredanci	2013
A7	Primorje-Gorski Kotar	5.3km (3.3mi)	Sveti Kuzam – Križišće	2013
A10	Dubrovnik-Neretva	2.9km (1.8mi)	Metković – Kula Norinska	2013
A11	Zagreb and the City of Zagreb	8.7km (5.4mi)	Jakuševec – Velika Gorica jug (south)	2014
A11	Zagreb	11.2km (6.96mi)	Buševec – Lekenik	2013
A12	Zagreb and Koprivnica-Križevci	12.5km (7.8mi)	Gradec – Križevci	cancelled
A13	Zagreb	10.6km (6.6mi)	Vrbovec 2 – Farkaševac	cancelled
