Date	Time (ET)	Event #	Event	Winner	Prize	Entries	Prize Pool	Elapsed Time
Sep 4	10:00	1	$215 No Limit Hold'em [6-max]	LOL_U_91 (Miguel Use)	$211,000.00*	7,500	$1,500,000.00	[2-Day] event
Sep 4	12:00	2	$10,300 No Limit Hold’em [High Roller]	DYBYDX (Ashley Mason)	$430,000.00	200	$2,000,000.00	16 h 27 min
Sep 4	14:00	3	$215 No Limit Hold’em	K_0_S_T_Y_A	$288,660.78	10,107	$2,021,400.00	[2-Day] event
Sep 5	11:00	4	$320 Pot Limit Omaha	bratpack1979	$83,518.08	1,697	$509,100.00	15 h 20 min
Sep 5	14:00	5	$320 No Limit Hold’em Shootout [6-Max]	Mossop7	$62,208.36	1,296	$388,800.00	13 h 9 min
Sep 5	17:00	6	$215 No Limit Hold’em Turbo w/Rebuys	MONSTER_DONG (Jonathan Karamalikis)	$179,569.13	1,589 (3130 R, 754 A)	$1,094,600.00	04 h 39 min
Sep 6	11:00	7	$215 Pot Limit 5 Card Draw	ranayr	$19,608.00	516	$103,200.00	12 h 15 min
Sep 6	14:00	8	$215 Triple Stud	2FLY2TILT (Joel Adam Gordon)	$20,185.20	534	$106,800.00	11 h 07 min
Sep 6	17:00	9	$1,050 No Limit Hold'em	extasyman (Andrei One)	$216,227.60	1,237	$1,237,000.00	[2-Day] event
Sep 7	6:00	10	$265 Pot Limit Omaha [Knockout]	Olkku	$43,214.00	1,271	$254,200.00	13 h 7 min
Sep 7	11:00	11	$320 No Limit Hold’em [Ante Up]	Ugnis	$73,717.02	1,467	$440,100.00	[2-Day] event
Sep 7	14:00	12	$215 No Limit Hold'em [Heads-Up]	rickv17	$75,616.00	2,224	$444,800.00	[2-Day] event
Sep 8	6:00	13	$215 Pot Limit Omaha H/L [1 Rebuy/1 Add-on, 6-max]	Pandochat	$42,408.00	558 (298 R, 260 A)	$223,200.00	14 h 20 min
Sep 8	11:00	14	$265 No Limit Hold’em [6-max] [Knockout]	Tat0chka	$110,609.02	3,568	$713,600.00	[2-Day] event
Sep 8	14:00	15	$215 Razz	Fred_Brink (Frederik Brink Jensen)	$29,962.50	799	$159,800.00	13 h 16 min
Sep 09	11:00	16	$215 Pot Limit Omaha [6-max]	Donald (Anders Berg)	$61,488.00	1,952	$390,400.00	14 h 48 min
Sep 09	14:00	17	$215 No Limit 2-7 Single Draw	Brryann (Bryan Ruiter)	$16,380.00	390	$78,000.00	10 h 36 min
Sep 09	17:00	18	$320 No Limit Hold’em [10-minute Levels]	N4kai	$107,515.78*	2,295	$688,500.00	08 h 05 min
Sep 10	10:00	19	$109 No Limit Hold’em	erickie	$163,324.15	11,741	$1,174,100.00	17 h 52 min
Sep 10	14:00	20	$215 Fixed Limit Hold’em	RiskStar	$35,244.00	979	$195,800.00	11 h 33 min
Sep 11	10:00	21	$215 No Limit Hold’em	gregor7878	$158,627.33*	8,484	$1,696,800.00	[2-Day] event
Sep 11	14:00	22	$530 No Limit Hold’em	Flying Smile	$293,512.31	3,739	$1,869,500.00	[2-Day] event
Sep 12	11:00	23	$215 No Limit Hold’em [4-Max]	z_balata	$77,349.00	2,622	$524,400.00	[2-Day] event
Sep 12	14:00	24	$320 Seven Card Stud	Big_Nemo	$19,461.91	337	$101,100.00	10 h 14 min
Sep 12	17:00	25	$215 Pot Limit Omaha Turbo [1 Rebuy/1 Add-on]	MiPwnYa (Quentin Lae)	$72,996.48	1,086 (756 R, 246 A)	$417,600.00	4 h 4 min
Sep 13	11:00	26	$320 Mixed Hold’em [6-Max]	Exclusive ( Noah Boeken )	$44,480.49	841	$252,300.00	11 h 40 min
Sep 13	14:00	27	$320 Fixed Limit Badugi	goleafsgoeh (Mike Leah)	$17,082.00	292	$87,600.00	12 h 24 min
Sep 13	17:00	28	$1,050 No-Limit Hold’em	Schildy1984 (Alexander Debus)	$206,280.00	1,146	$1,146,000.00	[2-Day] event
Sep 14	6:00	29	$265 No Limit Omaha Hi/Lo [Knockout]	Horns_Halos	$23,555.00*	685	$137,000.00	14 h 36 min
