Week	Date	Opponent	Result	Attendance
1	September 12, 1976	at Green Bay Packers	W 26-14	54,628
2	September 19, 1976	Chicago Bears	L 19-12	44,158
3	September 26, 1976	at Seattle Seahawks	W 37-21	59,108
4	October 3, 1976	New York Jets	W 17-6	42,691
5	October 11, 1976	at Los Angeles Rams	W 16-0	80,532
6	October 17, 1976	New Orleans Saints	W 33-3	43,160
7	October 23, 1976	Atlanta Falcons	W 15-0	50,240
8	October 31, 1976	at St. Louis Cardinals	L 23-20	50,365
9	November 7, 1976	Washington Redskins	L 24-21	56,134
10	November 14, 1976	at Atlanta Falcons	L 21-16	20,058
11	November 21, 1976	Los Angeles Rams	L 23-3	58,573
12	November 29, 1976	Minnesota Vikings	W 20-16	56,775
13	December 5, 1976	at San Diego Chargers	L 13-7	33,539
14	December 12, 1976	New Orleans Saints	W 27-7	42,536
