Member	Party	Electorate	State	In office
Hon Tony Abbott	Liberal	Warringah	NSW	1994–present
Hon Dick Adams	Labor	Lyons	Tas	1993–2013
Anthony Albanese	Labor	Grayndler	NSW	1996–present
Hon John Anderson	National	Gwydir	NSW	1989–2007
Peter Andren	Independent	Calare	NSW	1996–2007
Hon Kevin Andrews	Liberal	Menzies	Vic	1991–present
Hon Fran Bailey	Liberal	McEwen	Vic	1990–1993, 1996–2010
Hon Bruce Baird	Liberal	Cook	NSW	2001–2007
Mark Baker	Liberal	Braddon	Tas	2004–2007
Hon Bob Baldwin	Liberal	Paterson	NSW	1996–1998, 2001–present
Phil Barresi	Liberal	Deakin	Vic	1996–2007
Kerry Bartlett	Liberal	Macquarie	NSW	1996–2007
Hon Kim Beazley	Labor	Brand	WA	1980–2007
Hon Arch Bevis	Labor	Brisbane	Qld	1990–2010
Hon Bruce Billson	Liberal	Dunkley	Vic	1996–present
Sharon Bird	Labor	Cunningham	NSW	2004–present
Hon Bronwyn Bishop	Liberal	Mackellar	NSW	1994–present
Hon Julie Bishop	Liberal	Curtin	WA	1998–present
Chris Bowen	Labor	Prospect	NSW	2004–present
Russell Broadbent	Liberal	McMillan	Vic	1990–1993, 1996–1998 2004–present
Hon Mal Brough	Liberal	Longman	Qld	1996–2007
Anna Burke	Labor	Chisholm	Vic	1998–present
Tony Burke	Labor	Watson	NSW	2004–present
Anthony Byrne	Labor	Holt	Vic	1999–present
Hon Alan Cadman	Liberal	Mitchell	NSW	1974–2007
Hon Ian Causley	National	Page	NSW	1996–2007
Steven Ciobo	Liberal	Moncrieff	Qld	2001–present
John Cobb	National	Parkes	NSW	2001–present
Ann Corcoran	Labor	Isaacs	Vic	2000–2007
Hon Peter Costello	Liberal	Higgins	Vic	1990–2009
Hon Simon Crean	Labor	Hotham	Vic	1990–2013
Michael Danby	Labor	Melbourne Ports	Vic	1998–present
Hon Alexander Downer	Liberal	Mayo	SA	1984–2008
Trish Draper	Liberal	Makin	SA	1996–2007
Hon Peter Dutton	Liberal	Dickson	Qld	2001–present
Hon Graham Edwards	Labor	Cowan	WA	1998–2007
Justine Elliot	Labor	Richmond	NSW	2004–present
Annette Ellis	Labor	Canberra	ACT	1996–2010
Kate Ellis	Labor	Adelaide	SA	2004–present
Kay Elson	Liberal	Forde	Qld	1996–2007
Dr Craig Emerson	Labor	Rankin	Qld	1998–2013
Hon Warren Entsch	Liberal	Leichhardt	Qld	1996–2007, 2010–present
Hon Pat Farmer	Liberal	Macarthur	NSW	2001–2010
David Fawcett	Liberal	Wakefield	SA	2004–2007
Laurie Ferguson	Labor	Reid	NSW	1990–present
Martin Ferguson	Labor	Batman	Vic	1996–2013
Michael Ferguson	Liberal	Bass	Tas	2004–2007
Joel Fitzgibbon	Labor	Hunter	NSW	1996–present
John Forrest	National	Mallee	Vic	1993–2013
Hon Teresa Gambaro	Liberal	Petrie	Qld	1996–2007, 2010–present
Peter Garrett	Labor	Kingsford Smith	NSW	2004–2013
Joanna Gash	Liberal	Gilmore	NSW	1996–2013
Jennie George	Labor	Throsby	NSW	2001–2010
Steve Georganas	Labor	Hindmarsh	SA	2004–2013
Petro Georgiou	Liberal	Kooyong	Vic	1994–2010
