Year	Entrant	Chassis	Engine	Points
1972	Scuderia Ferrari	Ferrari 312B2	Ferrari Flat-12	1
1973	Scuderia Ferrari	Ferrari 312B2	Ferrari Flat-12	6
1973	Scuderia Ferrari	Ferrari 312B3	Ferrari Flat-12	6
1974	Frank Williams Racing Cars	Iso-Marlboro FW	Cosworth V8	4
1975	Frank Williams Racing Cars	Williams FW03	Cosworth V8	0
1975	Frank Williams Racing Cars	Williams FW04	Cosworth V8	0
1975	Fittpaldi-Copersucar	Fittipaldi FD03	Cosworth V8	0
1976	Ovoro March	March 761	Cosworth V8	0
1976	Walter Wolf Racing	Williams FW05	Cosworth V8	0
1977	Team Merzario	March 761B	Cosworth V8	0
1977	Shadow Racing	Shadow DN8	Cosworth V8	0
1978	Team Merzario	Merzario A1	Cosworth V8	0
1979	Team Merzario	Merzario A1B	Cosworth V8	0
1979	Team Merzario	Merzario A2	Cosworth V8	0
1979	Team Merzario	Merzario A4	Cosworth V8	0
