Draw	Language	Artist	Song	English translation	Place	Points
01	English , Russian	Sasha Son	" Love "	—	23	23
02	English , Hebrew , Arabic	Noa and Mira Awad	" There Must Be Another Way "	—	16	53
03	French	Patricia Kaas	" Et s'il fallait le faire "	And if it had to be done	8	107
04	French , English	Malena Ernman	" La voix "	The voice	21	33
05	Croatian	Igor Cukrov feat. Andrea	" Lijepa Tena "	Beautiful Tena	18	45
06	Portuguese	Flor-de-Lis	" Todas as ruas do amor "	All the streets of love	15	57
07	English	Yohanna	" Is It True? "	—	2	218
08	English	Sakis Rouvas	" This Is Our Night "	—	7	120
09	English , Armenian	Inga and Anush	" Jan Jan " (Ջան Ջան)	My dear	10	92
10	Russian , Ukrainian	Anastasiya Prikhodko	" Mamo " (Мамо)	Mum	11	91
11	English	AySel and Arash	" Always "	—	3	207
12	Bosnian	Regina	" Bistra voda "	Clear water	9	106
13	Romanian , English	Nelly Ciobanu	" Hora din Moldova "	Dance from Moldova	14	69
14	English	Chiara	" What If We "	—	22	31
15	Estonian	Urban Symphony	" Rändajad "	Nomads	6	129
16	English	Niels Brinck	" Believe Again "	—	13	74
17	English	Alex Swings Oscar Sings!	" Miss Kiss Kiss Bang "	—	20	35
18	English	Hadise	" Düm Tek Tek "	— [A]	4	177
19	English	Kejsi Tola	" Carry Me in Your Dreams "	—	17	48
20	English	Alexander Rybak	" Fairytale "	—	1	387
21	English	Svetlana Loboda	" Be My Valentine "	—	12	76
22	English	Elena	" The Balkan Girls "	—	19	40
23	English	Jade Ewen	" It's My Time "	—	5	173
24	English	Waldo's People	" Lose Control "	—	25	22
25	Spanish , English	Soraya Arnelas	" La noche es para mí "	The night is for me	24	23
