Company	Type	Principal activities	Incorporated in	Group's Equity Shareholding
Malaysia Airlines Cargo Sdn. Bhd	Subsidiary	Cargo	Malaysia	100%
GE Engine Services Malaysia	Joint Venture	Engine Overhaul	Malaysia	30%
MASwings Sdn. Bhd.	Subsidiary	Airline	Malaysia	100%
Firefly Sdn. Bhd.	Subsidiary	Airline	Malaysia	100%
MAS Aerotechnologies Sdn Bhd	Subsidiary	MRO	Malaysia	100%
MAS Golden Holidays Sdn Bhd	Subsidiary	Tour operator	Malaysia	100%
Malaysian Aerospace Engineering Sdn Bhd	Subsidiary	Engineering	Malaysia	100%
MAS Academy Sdn Bhd	Subsidiary	Flight school	Malaysia	100%
Abacus Distribution Systems (Malaysia) Sdn Bhd	Subsidiary	Computer reservation system	Malaysia	80%
Taj Madras Air Catering Limited	Associate	Catering	India	20%
MAS Catering (Sarawak) Sdn Bhd	Subsidiary	Catering	Malaysia	60%
LSG Sky Chefs	Associate	Holding company	Malaysia	30%
