Street	West	East	# of lanes	Traffic direction
1st Street	Hoyt Street	Prospect Park West	1	East
2nd Street	Smith Street	Prospect Park West	1	West
3rd Street	Smith Street	Prospect Park West	1-2	Varies
4th Street	Smith Street	Prospect Park West	1	West
5th Street	Smith Street	Prospect Park West	1	East
6th Street	2nd Avenue	Prospect Park West	1	West
7th Street	2nd Avenue	Prospect Park West	1	East
8th Street	2nd Avenue	Prospect Park West	1	West
9th Street	Smith Street	Prospect Park West	2	Bidirectional
10th Street	Dead-end at 2nd Avenue	Prospect Park West	1	East
11th Street	2nd Avenue	Prospect Park West	1	West
12th Street	Dead-end at Hamilton Place	Prospect Park West	1	East
13th Street	Hamilton Place	Prospect Park West	1	West
14th Street	Hamilton Place	Prospect Park West	1	East
15th Street	Hamilton Avenue	Bartel Pritchard Square at Prospect Park West	1	West
16th Street	Hamilton Avenue	Prospect Park Southwest	1	Varies
17th Street	Sunset Industrial Park	Terrace Place	1	East
18th Street	Sunset Industrial Park	Vanderbilt Street	1	West
19th Street	Sunset Industrial Park	Vanderbilt Street	1	East
20th Street	Sunset Industrial Park	Vanderbilt	1-2	Varies
21st Street	Dead-end at 3rd Avenue	7th Avenue	1	East
22nd Street	Dead-end at 3rd Avenue	7th Avenue	1	West
23 Street	Dead-end at 3rd Avenue	7th Avenue	1	East
24th Street	3rd Avenue	6th Avenue	1	West
25th Street	Dead-end at 3rd Avenue	5th Avenue	1	East
26th Street	Dead-end at 3rd Avenue	5th Avenue	1	West
27th Street	Dead-end at 3rd Avenue	5th Avenue	1	East
28th Street	3rd Avenue	5th Avenue	1	West
29th Street	2nd Avenue	5th Avenue	1	East
30th Street	2nd Avenue	5th Avenue	1	West
31st Street	2nd Avenue	5th Avenue	1	East
32nd Street	2nd Avenue	5th Avenue	1	West
33rd Street	2nd Street	5th Avenue	1	East
34th Street	2nd Avenue	5th Avenue	1	West
35th Street	2nd Avenue	Dahill Road	1	East
36th Street	2nd Avenue	15th Avenue	1-2	Varies
37th Street	2nd Avenue	Dahill Road	1-2	Varies
38th Street	3rd Avenue	Dahill Road	1	Varies
39th Street	Dead-end at 1st Avenue	Dahill Road	2	Bidirectional
40th Street	1st Avenue	Dahill Road	1	East
41st Street	1st Avenue	Dahill Road	1	West
42nd Street	Dead-end at 1st Avenue	Dahill Road	1	East
43rd Street	Dead-end at 1st Avenue	Dahill Road	1	West
44th Street	1st Avenue	Dahill Road	1	East
45th Street	2nd Avenue	18th Avenue	1	West
46th Street	2nd Avenue	18th Avenue	1	East
47th Street	1st Avenue	McDonald Avenue	1	West
48th Street	1st Avenue	19th Avenue	1	East
49th Street/Sunset Terrace	2nd Avenue	Dead-end at 18th Avenue	1	West
50th Street	1st Avenue	Dahill Road	1	East
51st Street	Dead-end at 1st Avenue	Dahill Road	1	West
52nd Street	Dead-end at 1st Avenue	Dahill Road	1	East
53rd Street	1st Avenue	Dahill Road & 21st Avenue	1	West
54th Street	1st Avenue	20th Avenue	1	East
55th Street	1st Avenue	19th Avenue	1	West
56th Street	1st Avenue	18th Avenue	1	East
57th Street	1st Avenue	Dead-end at 21st Avenue	1	West
58th Street	Dead-end at 1st Avenue	Dead-end at 21st Avenue	1	East
59th Street	2nd Avenue	Dahill Road	1	West
60th Street	2nd Avenue	McDonald Avenue & 24th Avenue	2	Bidirectional
61st Street	2nd Avenue	Dahill Road	1	West
62nd Street	2nd Avenue	Dahill Road	1	East
63rd Street	2nd Avenue	Dahill Road	1	West
64th Street	2nd Avenue	Dahill Road	1	East
65th Street	2nd Avenue	McDonald Avenue at Avenue P	1-4	Varies
66th Street	4th Avenue	Bay Parkway	1	West
67th Street	Colonial Road	Bay Parkway	1-2	Varies
68th Street	Shore Road	Bay Parkway	1	West
69th Street/Bay Ridge Avenue	Shore Road	Bay Parkway	1-2	Varies
70th Street	Dead-end at Narrows Avenue	Bay Parkway	1	Varies
71st Street	Shore Road	Bay Parkway	1	Varies
86th Street	Shore Road	McDonald Avenue	2-4	Bidirectional
87th Street	Shore Road	5th Avenue	1	West
88th Street	Shore Road	7th Avenue	1	East
89th Street	Narrows Avenue	5th Avenue	1	West
90th Street	Ridge Boulevard	7th Avenue	1	West
91st Street	Shore Road	5th Avenue	1	East
92nd Street	Shore Road	7th Avenue	1-2	Varies
93rd Street	Shore Road	4th Avenue	1	Varies
94th Street	Shore Road	Fort Hamilton Parkway	1	Varies
95th Street	Shore Road	Fort Hamilton Parkway	1	East
96th Street	Shore Road	4th Avenue	1	West
97th Street	Shore Road	Fort Hamilton Parkway	1	Varies
98th Street	Dead-end at Marine Avenue	Marine Avenue	1	Two-way
99th Street	Shore Road	Fort Hamilton Parkway	1	Varies
100th Street	3rd Avenue	Fort Hamlton Parkway	1	East
101st Street	3rd Avenue	Fort Hamilton Parkway	1	West
