Week	Date	Opponent	Score	Result	Attendance	Record
1	June 27	vs. Toronto Argonauts	23–16	Loss	26,155	0–1
2	July 4	at Montreal Alouettes	38–24	Loss	20,202	0–2
3	July 11	vs. BC Lions	42–24	Loss	26,735	0–3
4	July 18	at BC Lions	27–18	Loss	37,174	0–4
5	July 24	vs. Calgary Stampeders	32–28	Win	26,882	1–4
6	Aug 1	at Toronto Argonauts	19–11	Loss	28,523	1–5
7	Aug 8	vs. Montreal Alouettes	39–11	Loss	27,674	1–6
8	Aug 14	vs. Hamilton Tiger-Cats	37–24	Win	25,484	2–6
9	Bye	Bye	Bye	Bye	Bye	2–6
10	Aug 31	at Saskatchewan Roughriders	19–6	Loss	30,985	2–7
11	Sept 7	vs. Saskatchewan Roughriders	34–31	Loss	29,770	2–8
12	Sept 12	at Toronto Argonauts	39–9	Win	28,453	3–8
13	Sept 19	at Hamilton Tiger-Cats	25–23	Win	19,102	4–8
14	Sept 26	vs. Edmonton Eskimos	30–23	Win	29,794	5–8
15	Oct 4	at Edmonton Eskimos	36–22	Loss	40,453	5–9
16	Oct 10	vs. Toronto Argonauts	25–16	Win	27,368	6–9
17	Oct 18	at Calgary Stampeders	37–16	Loss	30,110	6–10
18	Oct 26	at Montreal Alouettes	24–23	Win	20,202	7–10
19	Nov 1	vs. Hamilton Tiger-Cats	44–30	Win	24,595	8–10
