Nat.	Name	Moving from	Type	Transfer window	Ends	Transfer fee	Source
GRE	Poursaitides	Anorthosis Famagusta	Transfer	Summer	2010	Free	24sports.com.cy
CYP	Elia	Ethnikos Achna	Loan return	Summer	2009	—	—
POL	Żewłakow	Dender	Transfer	Summer	2010	Free	kerkida.net
CYP	Papathanasiou	Ermis Aradippou	Transfer	Summer	2010	Free	—
CYP	Christou	AEK Larnaca	Transfer	Summer	2012	€120K	sigmalive.com
GRE	Chiotis	Kerkyra	Transfer	Summer	2010	Free	kerkida.net
BRA	Paulista	WisłaKraków	Transfer	Summer	2010	Free	kerkida.net
CYP	Kyriakou	Digenis Morphou	Loan return	Summer	2009	—	—
POL	Kosowski	Cádiz	Transfer	Summer	2010	Free	apoelfc.com.cy
NGR	Onwuachi	Ionikos	Loan	Summer	2009	€200K	apoelfc.com.cy
CYP	Alexandrou	Larissa	Transfer	Summer	2011	Free	apoelfc.com.cy
POR	Paulo Costa	Anorthosis Famagusta	Loan	Winter	2009	Free	apoelfc.com.cy
