Circuit	Date	Pole Position	Fastest Lap	Winning driver	Winning team
Brands Hatch	29 March	Alexander Sims	Ryuji Yamamoto	Riki Christodoulou	Fortec Motorsport
Brands Hatch	30 March	Adam Christodoulou	Adam Christodoulou	Adam Christodoulou	CR Scuderia
Rockingham	12 April	Adam Christodoulou	Adam Christodoulou	Adam Christodoulou	CR Scuderia
Rockingham	13 April	Adam Christodoulou	Adam Christodoulou	Adam Christodoulou	CR Scuderia
Donington Park	3 May	Adriano Buzaid	Adriano Buzaid	Adriano Buzaid	Fortec Motorsport
Donington Park	4 May	Adriano Buzaid	Alexander Sims	Dean Stoneman	Alpine Motorsport
Thruxton	17 May	Adam Christodoulou	Ryuji Yamamoto	Adam Christodoulou	CR Scuderia
Thruxton	18 May	Adam Christodoulou	Adam Christodoulou	Riki Christodoulou	Fortec Motorsport
Croft	31 May	Adam Christodoulou	Adriano Buzaid	Adam Christodoulou	CR Scuderia
Croft	1 June	Race cancelled due to rain	Race cancelled due to rain	Race cancelled due to rain	Race cancelled due to rain
Silverstone GP	7 June	Adriano Buzaid	Adriano Buzaid	Adriano Buzaid	Fortec Motorsport
Silverstone GP	8 June	Adriano Buzaid	Riki Christodoulou	Adriano Buzaid	Fortec Motorsport
Snetterton	12 July	Riki Christodoulou	Dean Stoneman	Alexander Sims	Manor Competition
Snetterton	13 July	James Calado	Riki Christodoulou	James Calado	Fortec Motorsport
Snetterton	13 July	Dean Stoneman	Kris Loane	Dean Stoneman	Alpine Motorsport
Oulton Park	26 July	James Calado	Alexander Sims	Adam Christodoulou	CR Scuderia
Oulton Park	27 July	Dean Stoneman	Riki Christodoulou	Adam Christodoulou	CR Scuderia
Silverstone National	30 August	Adriano Buzaid	Alexander Sims	Alexander Sims	Manor Competition
Silverstone National	31 August	Jordan Oakes	Adriano Buzaid	Adriano Buzaid	Fortec Motorsport
Brands Hatch	20 September	Adriano Buzaid	Adriano Buzaid	Adriano Buzaid	Fortec Motorsport
Brands Hatch	21 September	Dean Stoneman	Dean Stoneman	Dean Stoneman	Alpine Motorsport
