Club	Location	Manager	Venue	Capacity
Belasitsa	Petrich	Miroslav Mitev Category:Articles with hCards	Tsar Samuil Stadium	15,000
Botev	Plovdiv	Kostadin Angelov Category:Articles with hCards	Hristo Botev Stadium, Plovdiv	22,000
Cherno More	Varna	Nikola Spasov Category:Articles with hCards	Ticha Stadium	12,500
Chernomorets	Burgas	Dimitar Dimitrov Category:Articles with hCards	Naftex Stadium	18,037
CSKA	Sofia	Luboslav Penev Category:Articles with hCards	Balgarska Armiya Stadium	22,015
Levski	Sofia	Emil Velev Category:Articles with hCards	Georgi Asparuhov Stadium	29,800
Litex	Lovech	Stanimir Stoilov Category:Articles with hCards	Lovech Stadium	7,000
Lokomotiv Mezdra	Mezdra	Georgi Bachev Category:Articles with hCards	Lokomotiv Stadium, Mezdra	5,000
Lokomotiv Plovdiv	Plovdiv	Ayan Sadakov Category:Articles with hCards	Lokomotiv Stadium, Plovdiv	18,800
Lokomotiv Sofia	Sofia	Dragomir Okuka Category:Articles with hCards	Lokomotiv Stadium, Sofia	22,000
Minyor	Pernik	Dimitar Aleksiev Category:Articles with hCards	Minyor Stadium	16,500
OFC Sliven	Sliven	Georgi Dermendjiev Category:Articles with hCards	Hadzhi Dimitar Stadium	15,000
Pirin	Blagoevgrad	Petar Tsvetkov Category:Articles with hCards	Hristo Botev Stadium, Blagoevgrad	16,000
Slavia	Sofia	Stevica Kuzmanovski Category:Articles with hCards	Ovcha Kupel Stadium	32,000
Spartak	Varna	Dragoljub Simonović Category:Articles with hCards	Spartak Stadium	12,000
Vihren	Sandanski	Filip Filipov Category:Articles with hCards	Sandanski Stadium	6,000
