Townland	Area( acres )	Barony	Civil parish	Poor law union
Acres	159	Duhallow	Kilmeen	Kanturk
Aghaneenagh	359	Duhallow	Kilmeen	Kanturk
Ahane Beg	158	Duhallow	Cullen	Millstreet
Ahane Lower	188	Duhallow	Cullen	Millstreet
Ahane Upper	303	Duhallow	Cullen	Millstreet
Aldworth	183	Duhallow	Kilshannig	Mallow
Anagloor	417	Duhallow	Drishane	Millstreet
Ardnageeha	311	Duhallow	Cullen	Millstreet
Assolas	303	Duhallow	Castlemagner	Kanturk
Ballagh	542	Duhallow	Tullylease	Kanturk
Ballinookery	204	Duhallow	Ballyclogh	Mallow
Ballintober	331	Duhallow	Castlemagner	Kanturk
Ballybahallagh	1077	Duhallow	Churchtown	Kanturk
Ballybane	488	Duhallow	Kilbrin	Kanturk
Ballyboght	439	Duhallow	Kilshannig	Mallow
Ballyboneill	120	Duhallow	Kilshannig	Mallow
Ballyduane East	141	Duhallow	Clonfert	Kanturk
Ballyduane South	157	Duhallow	Clonfert	Kanturk
Ballyduane West	255	Duhallow	Clonfert	Kanturk
Ballygiblin	442	Duhallow	Castlemagner	Kanturk
Ballygrady North	354	Duhallow	Kilbrin	Kanturk
Ballygrady South	298	Duhallow	Kilbrin	Kanturk
Ballyhass	247	Duhallow	Castlemagner	Kanturk
Ballyheen Middle	142	Duhallow	Kilbrin	Kanturk
Ballyheen North	142	Duhallow	Kilbrin	Kanturk
Ballyheen South	154	Duhallow	Kilbrin	Kanturk
Ballyhest East	55	Duhallow	Kilbrin	Kanturk
Ballyhest West	88	Duhallow	Kilbrin	Kanturk
Ballyhoolahan East	235	Duhallow	Kilmeen	Kanturk
Ballyhoolahan Middle	418	Duhallow	Kilmeen	Kanturk
Ballyhoolahan West	694	Duhallow	Kilmeen	Kanturk
Ballymacmurragh	399	Duhallow	Castlemagner	Kanturk
Ballymacpierce	222	Duhallow	Kilbrin	Kanturk
Ballymaquirk	360	Duhallow	Dromtarriff	Kanturk
Ballynafeaha	167	Duhallow	Ballyclogh	Mallow
Ballynaguilla	396	Duhallow	Tullylease	Kanturk
Ballynamona	114	Duhallow	Castlemagner	Kanturk
Ballynoe	169	Duhallow	Kilbrin	Kanturk
Ballynoe	291	Duhallow	Kilshannig	Mallow
Ballyphilibee	225	Duhallow	Kilbrin	Kanturk
Ballyrusheen	378	Duhallow	Kilbrin	Kanturk
Ballysimon	300	Duhallow	Kilshannig	Mallow
Ballythomas	197	Duhallow	Ballyclogh	Mallow
Bannagh	251	Duhallow	Castlemagner	Kanturk
Banteer	1020	Duhallow	Clonmeen	Kanturk
Barleyhill	835	Duhallow	Clonfert	Kanturk
Barnacurra	508	Duhallow	Clonfert	Kanturk
Baunoulagh	53	Duhallow	Castlemagner	Kanturk
Bawnaneal	165	Duhallow	Kilmeen	Kanturk
Bawnmore North	443	Duhallow	Kilbrin	Kanturk
Bawnmore South	729	Duhallow	Kilbrin	Kanturk
Beenalaght	488	Duhallow	Kilshannig	Mallow
Beennamweel East	506	Duhallow	Kilshannig	Mallow
Beennamweel West	419	Duhallow	Kilshannig	Mallow
Bettyville	302	Duhallow	Castlemagner	Kanturk
Blueford	416	Duhallow	Clonfert	Kanturk
Bluepool	50	Duhallow	Castlemagner	Kanturk
Boola	403	Duhallow	Kilshannig	Mallow
Boolymore	1031	Duhallow	Dromtarriff	Millstreet
Brittas	494	Duhallow	Kilshannig	Mallow
Caheraveelane	234	Duhallow	Kilshannig	Mallow
Cahernagh (Leland)	141	Duhallow	Tullylease	Kanturk
Cahernagh (Morgel)	200	Duhallow	Tullylease	Kanturk
Cahernagh East	110	Duhallow	Tullylease	Kanturk
Cappanagoul	509	Duhallow	Knocktemple	Kanturk
Cappaphaudeen	1516	Duhallow	Kilmeen	Kanturk
Carragraigue	1552	Duhallow	Dromtarriff	Millstreet
Carrigaline	380	Duhallow	Nohavaldaly	Millstreet
Carrigane	177	Duhallow	Rosskeen	Kanturk
Carriganes	1013	Duhallow	Nohavaldaly	Kanturk
Carrigcastle	268	Duhallow	Clonfert	Kanturk
Carrigcleena Beg	314	Duhallow	Kilshannig	Mallow
Carrigcleena More	632	Duhallow	Kilshannig	Mallow
Castlecor Demesne	548	Duhallow	Kilbrin	Kanturk
Castlelohort Demesne	223	Duhallow	Castlemagner	Kanturk
Castlemacauliffe	214	Duhallow	Clonfert	Kanturk
Castlemagner	241	Duhallow	Castlemagner	Kanturk
Cecilstown	239	Duhallow	Castlemagner	Kanturk
Charlesfield	684	Duhallow	Clonmeen	Kanturk
Church Hill	99	Duhallow	Cullen	Millstreet
Claragh More	462	Duhallow	Drishane	Millstreet
Claraghatlea North	397	Duhallow	Drishane	Millstreet
Claraghatlea South	185	Duhallow	Drishane	Millstreet
Clash	139	Duhallow	Kilbrin	Kanturk
Clashroe	404	Duhallow	Clonfert	Kanturk
Clashykinleen East	306	Duhallow	Kilmeen	Kanturk
Clashykinleen West	449	Duhallow	Kilmeen	Kanturk
Cleanrath	353	Duhallow	Cullen	Millstreet
Cloghboola	411	Duhallow	Kilbrin	Kanturk
Cloghvoula	1249	Duhallow	Kilmeen	Kanturk
Clonfert	259	Duhallow	Clonfert	Kanturk
Clonmeen North	142	Duhallow	Clonmeen	Kanturk
Clonmeen South	392	Duhallow	Clonmeen	Kanturk
Clonrobin	545	Duhallow	Kilbrin	Kanturk
Cloonbannin East	476	Duhallow	Cullen	Millstreet
Cloonbannin West	258	Duhallow	Cullen	Millstreet
Cloongeel	659	Duhallow	Kilmeen	Kanturk
Cloongowan	238	Duhallow	Tullylease	Kanturk
Cloonteens	227	Duhallow	Rosskeen	Kanturk
Cloontycommade	297	Duhallow	Clonfert	Kanturk
Clyda	62	Duhallow	Kilshannig	Mallow
Clydaville	66	Duhallow	Kilshannig	Mallow
Coalpits	132	Duhallow	Cullen	Millstreet
Commons	185	Duhallow	Knocktemple	Kanturk
Commons North	258	Duhallow	Clonfert	Kanturk
Commons South	1131	Duhallow	Clonfert	Kanturk
Coolacheesker	117	Duhallow	Clonmeen	Kanturk
Coolacoosane	315	Duhallow	Clonfert	Kanturk
Coolageela East	473	Duhallow	Kilbrin	Kanturk
Coolageela West	334	Duhallow	Kilbrin	Kanturk
Coolagh	335	Duhallow	Clonfert	Kanturk
Coolawaleen	291	Duhallow	Castlemagner	Kanturk
Coolbane	168	Duhallow	Knocktemple	Mallow
Coolbane	434	Duhallow	Tullylease	Kanturk
Coolclogh	465	Duhallow	Dromtarriff	Kanturk
Coolcloher East	215	Duhallow	Cullen	Millstreet
Coolcloher South	239	Duhallow	Cullen	Millstreet
Coolcloher West	214	Duhallow	Cullen	Millstreet
Coolmahane	197	Duhallow	Kilbrin	Kanturk
Coolnahane	484	Duhallow	Castlemagner	Kanturk
Coolnahilla	135	Duhallow	Kilbrin	Kanturk
Coolnamagh	138	Duhallow	Castlemagner	Kanturk
Coolnamagh	156	Duhallow	Ballyclogh	Mallow
Coolroe Beg	392	Duhallow	Clonmeen	Kanturk
Coolroe More	1159	Duhallow	Clonmeen	Kanturk
Coolykeerane	623	Duhallow	Drishane	Millstreet
Coolykereen	623	Duhallow	Clonfert	Kanturk
Copsefield	275	Duhallow	Clonfert	Kanturk
Corbally	468	Duhallow	Kilbrin	Kanturk
Creggane	218	Duhallow	Kilshannig	Mallow
Croanrea	701	Duhallow	Kilmeen	Kanturk
Cummerduff	216	Duhallow	Clonfert	Kanturk
Cummery Connell (North)	813	Duhallow	Clonfert	Kanturk
Cummery Connell (South)	1536	Duhallow	Clonfert	Kanturk
Curraduff	565	Duhallow	Clonfert	Kanturk
Curragh	120	Duhallow	Kilmeen	Kanturk
