Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1972	Edgar Michalowski	Monika Thiere	Siegfried Betz Franz Beinvogl	Monika Thiere Angela Michalowski	Roland Riese Monika Thiere
1973	Edgar Michalowski	Monika Thiere	Siegfried Betz Franz Beinvogl	Monika Thiere Angela Michalowski	Erfried Michalowsky Angela Michalowski
1974	Michael Schnaase	Monika Cassens	Siegfried Betz Franz Beinvogl	Monika Cassens Astrit Schreiber	Franz Beinvogl Anke Betz
1975	Edgar Michalowski	Monika Cassens	Gerd Kattau Joachim Schulz	Monika Cassens Angela Michalowski	Edgar Michalowski Monika Cassens
1976	Michael Schnaase	Inge Borgström	Wolfgang Bochow Roland Maywald	Monika Cassens Angela Michalowski	Wolfgang Bochow Marieluise Zizmann
1977	Willy Nilsson	Inge Borgström	Michael Wilks Peter Bullivant	Monika Cassens Angela Michalowski	Rob Ridder Marja Ridder
1978	Michael Schnaase	Monika Cassens	Eddy Sutton Alen Connor	Monika Cassens Angela Michalowski	Karl-Heinz Zwiebler Eva-Maria Zwiebler
1979	Steen Fladberg	Kirsten Larsen	Steen Fladberg Jens Peter Nierhoff	Sally Leadbeater Gillian Clark	Kenneth Larsen Charlotte Pilgaard
1980	Michael Kjeldsen	Rikki von Sörensen	Jan Hammergaard-Hansen Jens Peter Nierhoff	Kathleen Redhead Gillian Clark	Edgar Michalowski Monika Cassens
1981	Ulf Johansson	Diane Simpson	Gerry Asquith Duncan Bridge	Diane Simpson Catharine Troke	Edgar Michalowski Monika Cassens
1982	Steve Butler	Catharine Troke	Steve Butler Nigel Tier	Svetlana Belyasova Petra Michalowsky	Anatoliy Skripko Svetlana Belyasova
1983	Michal Malý	Monika Cassens	Torben Kjaer Steffen Lunde	Monika Cassens Petra Michalowsky	Erfried Michalowsky Monika Cassens
1984	Kim Brodersen	Charlotte Hattens	Kim Brodersen Claus Thomsen	Tatyana Litvinenko Viktoria Pron	Erfried Michalowsky Petra Michalowsky
1985	Poul-Erik Høyer Larsen	Grethe Mogensen	Poul-Erik Høyer Larsen Peter Buch	Grethe Mogensen Hanne Adsbol	Peter Buch Hanne Adsböl
1986	Andrey Antropov	Catharina Andersson	Michal Malý Karel Lakomý	Lila Galjamova Elena Rybkina	Andrey Antropov Elena Rybkina
1987	Michal Malý	Bozena Siemieniec	Heinz Fisher Klaus Fisher	Monika Cassens Petra Michalowsky	Thomas Mundt Monika Cassens
1988	Klaus Fischer	Elena Rybkina	Stephan Kuhl Robert Neumann	Monika Cassens Petra Michalowsky	Kai Abraham Petra Michalowsky
1989	Tomasz Mendrek	Viktoria Pron	Harald Koch Helmo Goetschl	Tatyana Litvinenko Viktoria Pron	Thomas Mundt Petra Michalowsky
1990	Thomas Stuer-Lauridsen	Camilla Martin	Thomas Stuer-Lauridsen Christian Jacobsen	Trine Johansson Marlene Thomsen	Christian Jacobsen Marlene Thomsen
1991	Robert Liljequist	Irina Serova	Markus Keck Michael Helber	Andrea Findhammer Anne-Katrin Seid	Vladislav Druzchenko Marina Yakusheva
1992	Tomasz Mendrek	Irina Serova	Steffan Pandya Anthony Busch	Tanja Groves Joanne Davies	Hans Fischer Irina Serova
