Number	Name	Year Built	Boat Builder	Current Status
1	Seasnipe	1898/9	R. Latham & Co., Crossens	Lost off Southport
2	Goshawk	1898/9	R. Latham & Co., Crossens	SCYC
4	Kittiwake	1898/9	R. Latham & Co., Crossens	Lost off Southport 1936
5	Seagull	1898/9	R. Latham & Co., Crossens	Lost at Abersoch
6	Scoter	1898/9	R. Latham & Co., Crossens	TBSC
7	Seamew	1898/9	R. Latham & Co., Crossens	Buenos Aires prior 1914
8	Dovekie	1898/9	R. Latham & Co., Crossens	WYC
9	Cormorant	1898/9	R. Latham & Co., Crossens	WYC
10	Sandpiper	1899	R. Lathom & Co., Crossens	WYC
11	Teal	1899	R. Latham & Co., Crossens	WYC
12	Merlin	1899	R. Latham & Co., Crossens	Lost at Trearddur Bay 1989
14	Petrel	1899	R. Latham & Co., Crossens	Lost in Mersey 1967
15	Fansy	1900	P Wright, Crossens	South Africa prior 1914
16	Dodo	1900	P Wright, Crossens	Lost in Mersey
17	Mallard	1902/3	W.H Rowland & Co., Bangor	TBSC
18	Chila	1902/3	W.H Rowland & Co., Bangor	TBSC
19	Fansy	1902/3	W.H Rowland & Co., Bangor	Lost at Conway 1945
20	Puffin	1902/3	W.H Rowland & Co., Bangor	WYC
21	Dotterel	1902/3	W.H Rowland & Co., Bangor	Lost at Abersoch 1970
22	Seahawk	1902/3	W.H Rowland & Co., Bangor	Lost in Mersey before 1925
24	Skua	1902/3	W.H Rowland & Co., Bangor	WYC
25	Valmai	1902/3	W.H Rowland & Co., Bangor	WYC
26	Fulmar	1902/3	W.H Rowland & Co., Bangor	WYC
27	Gannet	1905/6	W. Roberts & Son, Chester	Lost in Mersey 1910
28	Albatross	1905/6	W. Roberts & Son, Chester	Lost at West Kirby 1953
29	Tern	1905/6	W. Roberts & Son, Chester	WYC
30	Curlew	1905/6	W. Roberts & Son, Chester	Lost off Hoylake 1926
31	Goeland	1905/6	W. Roberts & Son, Chester	Lost in Merseyside 1926
32	Whimbrel	1906	Hilditch, Carrickfergus	WYC
33	Seasnipe	1905/6	W. Roberts & Son, Chester	SCYC
34	Gannet	1906	Hilditch, Carrickfergus	Lost off Hoylake
35	Royal Tern	1906	Hilditch, Carrickfergus	SCYC
36	Grebe	1906	Hilditch, Carrickfergus	U.S.A.
37	Sealark	1906	Hilditch, Carrickfergus	Lost in Mersey 1923
38	Gael	1906	Hilditch, Carrickfergus	WYC
39	Whaup	1910/11	W.H Rowland & Co., Bangor	Lost off Southport 1963
40	Penguin	1910/11	W.H Rowland & Co., Bangor	SCYC
41	Osprey	1910/11	W.H Rowland & Co., Bangor	WYC
42	Bobolink	1920	John Crossfield & Co., Conway	WYC
44	Fleetwing	1920	John Crossfield & Co., Conway	Lost in Mersey 1957
45	Stormy Petrel	1920	John Crossfield & Co., Conway	Burnt at Lytham 1956
46	Dodo	1920	John Crossfield & Co., Conway	WYC
47	Mollyhawk	1920	John Crossfield & Co., Conway	Lost in Mersey
48	Dunlin	1920	John Crossfield & Co., Conway	Lost in Trearddur Bay 1950
49	Sealark	1920	John Crossfield & Co., Conway	TBSC
50	Seamew	1920	John Crossfield & Co., Conway	TBSC
51	Dot	1922	Rowlands Dockyards Ltd., Bangor	TBSC
52	Pintail	1922	Rowlands Dockyards Ltd., Bangor	SCYC
53	Auk	1920	John Crossfield & Co., Conway	TBSC
54	Gannet	1922	Rowlands Dockyards Ltd., Bangor	Lost in Trearddur Bay 1923
55	Shearwater	1922	Rowlands Dockyards Ltd., Bangor	TBSC
56	Kittiwake	1922	Rowlands Dockyards Ltd., Bangor	WYC
57	Tern	1922	Rowlands Dockyards Ltd., Bangor	TBSC
58	Sea Swallow	1924	Enterprise Small Craft Co., Rock Ferry	TBSC
59	Gull	1924	Enterprise Small Craft Co., Rock Ferry	TBSC
60	Guillemot	1924	Enterprise Small Craft Co., Rock Ferry	WYC
61	Pipit	1924	Enterprise Small Craft Co., Rock Ferry	SCYC
62	Merganser	1924	Enterprise Small Craft Co., Rock Ferry	SCYC
64	Heron	1924	Enterprise Small Craft Co., Rock Ferry	Lost in Trearddur Bay 1944
65	Golden Eye	1924	Enterprise Small Craft Co., Rock Ferry	WYC
66	Smew	1924	Enterprise Small Craft Co., Rock Ferry	Lost on the River Dart 1956
67	Scaup	1924	Enterprise Small Craft Co., Rock Ferry	TBSC
68	Gannet	1924	Enterprise Small Craft Co., Rock Ferry	WYC
69	Eider	1924	Enterprise Small Craft Co., Rock Ferry	Lost in Mersey
70	Dipper	1926	A.M. Dickie & Son, Bangor	TBSC
71	Ruddy Duck	1926	A.M. Dickie & Son, Bangor	SCYC
72	Sula	1926	A.M. Dickie & Son, Bangor	TBSC
74	Avocet	1922	Rowlands Dockyards Ltd., Bangor	TBSC
75	Curlew	1931	A.M. Dickie & Son, Bangor	TBSC
76	Tringa	1935/6	A.M. Dickie & Son, Bangor	TBSC
77	Eider	1935/6	A.M. Dickie & Son, Bangor	SCYC
78	Cygnet	1935/6	A.M. Dickie & Son, Bangor	TBSC
79	Dunlin	1935/6	A.M. Dickie & Son, Bangor	TBSC
80	Gwylan	1939	A.M. Dickie & Son, Bangor	TBSC
81	Egret	1939	A.M. Dickie & Son, Bangor	TBSC
82	Widgeon	1953	S. Bond, Rock Ferry	WYC
84	Sanderling	1953	S. Bond, Rock Ferry	Lost in Trearddur Bay 1983
85	Halcyon	1953	S. Bond, Rock Ferry	TBSC
86	Solan Goose	1953	Western Marine, Pwllheli	SCYC
87	Calloo	1953	Western Marine, Pwllheli	WYC
88	Goosander	1961	Kenneth M. Gibbs Ltd., Pwllheli	WYC
89	Kayoshk	1961	Kenneth M. Gibbs Ltd., Pwllheli	SCYC
90	Pochard	1967	WYC, New Brighton	WYC
91	Marila	1967	Philip Winram & Sons, Liverpool	SCYC
92	Snowgoose	1968	Philip Winram & Sons, Liverpool	TBSC
93	Redshank	1968	Philip Winram & Sons, Liverpool	TBSC
94	Terek	1968	Philip Winram & Sons, Liverpool	WYC
95	Turnstone	1968	Philip Winram & Sons, Liverpool	TBSC
96	Shellduck	1968	Philip Winram & Sons, Liverpool	TBSC
97	Herring Gull	1969	Philip Winram & Sons, Liverpool	TBSC
98	Merlin	1994	J. Jones, Trearddur Bay	TBSC
99	Razorbill	1998	A.C.F. Morris, West Mersea	TBSC
100	Oystercatcher	1998	Classic Sailboats, Caernarfon	TBSC
101	Sanderling	2005	Classic Sailboats, Caernarfon	TBSC
102	Chough	2005	Classic Sailboats, Caernarfon	TBSC
103	Arctic Tern	2006	Classic Sailboats, Caernarfon	TBSC
104	Petrel	2006	Classic Sailboats, Caernarfon	TBSC
105	Rockhopper	2007	Classic Sailboats, Caernarfon	TBSC
106	Harlequin	2010	Classic Sailboats, Caernarfon	TBSC
