Result	Record	Opponent	Rd, Time	Date	Location
Result	Record	Opponent	Rd, Time	Date	Location
Win	24-0-0	Gwendolyn O'Neil	1	2007-02-03	Kempton Park , South Africa
Win	23-0-0	Shelley Burton	4	2006-11-11	New York, New York
Win	22-0-0	Åsa Sandell	5	2005-12-17	Berlin , Germany
Win	21-0-0	Erin Toughill	3	2005-06-11	Washington, D.C.
Win	20-0-0	Cassandra Giger	8	2005-02-11	Atlanta, Georgia
Win	19-0-0	Gwendolyn O'Neil	3	2004-09-24	Atlanta, Georgia
Win	18-0-0	Monica Nunez	9	2004-07-30	Louisville, Kentucky
Win	17-0-0	Nikki Eplion	3	2004-07-17	Bowie, Maryland
Win	16-0-0	Christy Martin	4	2003-08-23	Biloxi, Mississippi
Win	15-0-0	Valerie Mahfood	6	2003-06-21	Los Angeles, California
Win	14-0-0	Mary Ann Almager	4	2003-02-14	Louisville, Kentucky
Win	13-0-0	Valerie Mahfood	8	2002-11-08	Las Vegas, Nevada
Win	12-0-0	Suzette Taylor	2	2002-08-17	Las Vegas, Nevada
Win	11-0-0	Shirvelle Williams	6	2002-06-07	Southaven, Mississippi
Win	10-0-0	Jacqui Frazier-Lyde	8	2001-06-08	Verona, New York
Win	9-0-0	Christine Robinson	5	2001-03-02	Verona, New York
Win	8-0-0	Kendra Lenhart	6	2000-10-20	Auburn Hills, Michigan
Win	7-0-0	Marjorie Jones	1	2000-06-15	Universal City, California
Win	6-0-0	Kristina King	4	2000-04-02	Guangzhou , China
Win	5-0-0	Karen Bill	3	2000-04-08	Detroit, Michigan
Win	4-0-0	Crystal Arcand	1	2000-03-07	Windsor, Ontario
Win	3-0-0	Nicolyn Armstrong	2 (60)	1999-12-10	Detroit, Michigan
Win	2-0-0	Shadina Pennybaker	4	1999-10-11	Chester, West Virginia
Win	1-0-0	April Fowler	1 (15)	1999-12-08	Verona, New York
