Year	Date	Winner	Result	Loser	Location
1960	November 20	Philadelphia Eagles	17-10	New York Giants	Yankee Stadium
1960	November 27	Philadelphia Eagles	31-23	New York Giants	Franklin Field
1961	November 12	New York Giants	38-21	Philadelphia Eagles	Yankee Stadium
1961	December 10	Philidalphia Eagles	28-24	New York Giants	Franklin Field
1962	September 23	New York Giants	29-13	Philadelphia Eagles	Franklin Field
1962	November 18	New York Giants	19-14	Philadelphia Eagles	Yankee Stadium
1963	September 29	New York Giants	37-14	Philadelphia Eagles	Franklin Field
1963	November 10	New York Giants	42-14	Philadelphia Eagles	Yankee Stadium
1964	September 13	Philadelphia Eagles	38-7	New York Giants	Franklin Field
1964	October 18	New York Giants	23-17	Philadelphia Eagles	Yankee Stadium
1965	September 26	New York Giants	16-14	Philadelphia Eagles	Franklin Field
1965	October 17	New York Giants	35-27	Philadelphia Eagles	Yankee Stadium
1966	September 25	Philadelphia Eagles	35-17	New York Giants	Franklin Field
1966	October 23	Philadelphia Eagles	31-3	New York Giants	Yankee Stadium
1967	November 26	New York Giants	44-7	Philadelphia Eagles	Yankee Stadium
1968	September 22	New York Giants	34-25	Philadelphia Eagles	Franklin Field
1968	November 17	New York Giants	7-6	Philadelphia Eagles	Yankee Stadium
1969	October 5	Philadelphia Eagles	23-20	New York Giants	Yankee Stadium
