Name	Species Authority	Order	Family	Red List
American Beaver	Castor canadensis Kuhl, 1820	ia Rodent	Castoridae	7
Southeastern Pocket Gopher	Geomys pinetis Rafinesque, 1817	Rodentia	Geomyidae	7
Capybara	Hydrochaeris hydrochaeris (Linnaeus, 1766)	Rodentia	Hydrochaeridae	7
Oldfield Mouse	Peromyscus polionotus (Wagner, 1843)	Rodentia	Muridae	7
Cotton Mouse	Peromyscus gossypinus (Le Conte, 1850)	Rodentia	Muridae	7
Eastern Harvest Mouse	Reithrodontomys humilis (Audubon & Bachman, 1941)	Rodentia	Muridae	7
Florida Woodrat	Neotoma floridana (Ord, 1818)	Rodentia	Muridae	7
Florida Mouse	Podomys floridanus (Chapman, 1889)	Rodentia	Muridae	5
Meadow Vole	Microtus pennsylvanicus (Ord, 1815)	Rodentia	Muridae	7
Golden Mouse	Ochrotomys nuttalli (Harlan, 183)2	Rodentia	Muridae	7
Hispid Cotton Rat	Sigmodon hispidus Say & Ord, 1825	Rodentia	Muridae	7
House Mouse	Mus musculus Linnaeus, 1758	Rodentia	Muridae	7
Marsh Rice Rat	Oryzomys palustris (Harlan, 1837)	Rodentia	Muridae	7
Brown Rat	Rattus norvegicus (Berkenhout, 1769)	Rodentia	Muridae	7
Woodland Vole	Microtus pinetorum (Le Conte, 1830)	Rodentia	Muridae	7
Black Rat	Rattus rattus (Linnaeus, 1758)	Rodentia	Muridae	7
Round-tailed Muskrat	Neofiber alleni True, 1884	Rodentia	Muridae	6
Coypu	Myocastor coypus (Molina, 1782)	Rodentia	Myocastoridae	7
Eastern Chipmunk	Tamias striatus (Linnaeus, 1758)	Rodentia	Sciuridae	7
Eastern Gray Squirrel	Sciurus carolinensis Gmelin, 1788	Rodentia	Sciuridae	7
Fox Squirrel	Sciurus niger Linnaeus, 1758	Rodentia	Sciuridae	7
Mexican Gray Squirrel	Sciurus aureogaster F. Cuvier, 1829	Rodentia	Sciuridae	7
Southern Flying Squirrel	Glaucomys volans (Linnaeus, 1758)	Rodentia	Sciuridae	7
