Year	Award	Category	Nominated Work	Result
1978	Tony Award	Best Performance by a Featured Actress in a Play	Tartuffe	Nominated
1978	Drama Desk Award	Outstanding Featured Actress in a Play	Uncommon Women and Others	Nominated
1978	Drama Desk Award	Outstanding Featured Actress in a Musical	A History of the American Film	Won
1981	Tony Award	Best Performance by a Featured Actress in a Play	Fifth of July	Won
1981	Drama Desk Award	Outstanding Featured Actress in a Play	Fifth of July	Won
1981	Outer Critics Circle Award	Outstanding Actress in a Play	Fifth of July	Won
1986	Tony Award	Best Performance by a Featured Actress in a Play	The House of Blue Leaves	Won
1986	Drama Desk Award	Outstanding Actress in a Play	The House of Blue Leaves	Nominated
1999	Drama Desk Award	Outstanding Actress in a Play	The Mineola Twins	Nominated
1999	Drama League Award	Distinguished Performance	The Mineola Twins	Nominated
1999	Outer Critics Circle Award	Outstanding Actress in a Play	The Mineola Twins	Nominated
2004	Tony Award	Best Performance by a Leading Actress in a Play	Frozen	Nominated
2004	Outer Critics Circle Award	Outstanding Actress in a Play	Frozen	Nominated
2007	Tony Award	Best Performance by a Leading Actress in a Play	Heartbreak House	Nominated
