Year	Manufacturer	Start	Finish	Team
1962	Ford	21	48	Julian Buesink
1964	Ford	22	17	Herman Beam
1965	Ford	32	9	Gary Weaver
1966	Ford	19	2	Matthews
1967	Mercury)	8	39	Wood
1968	Mercury	1	1	Wood
1969	Mercury	5	38	Wood
1970	Mercury	1	37	Wood
1971	Plymouth	13	33	Ray Fox
1972	Plymouth	16	6	Ray Fox
1973	Chevrolet	3	22	Richard Howard
1974	Chevrolet	4	2	Richard Howard
1975	Chevrolet	6	3	Johnson
1976	Chevrolet	14	42	Johnson
1977	Oldsmobile	4	1	Johnson
1978	Oldsmobile	1	2	Johnson
1979	Oldsmobile	3	5	Johnson
1980	Oldsmobile	5	19	Johnson
1981	Oldsmobile	29	8	Anderson
1982	Buick	3	2	Anderson
1983	Pontiac	8	1	Ranier
1984	Chevrolet	1	1	Ranier
1985	Ford	2	36	Ranier
1986	Ford	13	27	Ranier
1987	Oldsmobile	22	10	Yarborough
1988	Oldsmobile	32	38	Yarborough
