Week	Date	Opponent	Result	Attendance
1	September 10, 1989	at Los Angeles Raiders	L 40–14	40,237
2	September 17, 1989	Houston Oilers	L 34–27	42,013
3	September 24, 1989	Kansas City Chiefs	W 21–6	40,128
4	October 1, 1989	at Phoenix Cardinals	W 24–13	44,201
5	October 8, 1989	at Denver Broncos	L 16–10	75,222
6	October 15, 1989	Seattle Seahawks	L 17–16	50,079
7	October 22, 1989	New York Giants	L 20–13	48,566
8	October 29, 1989	at Seattle Seahawks	L 10–7	59,691
9	November 5, 1989	Philadelphia Eagles	W 20–17	47,019
10	November 12, 1989	Los Angeles Raiders	W 14–12	59,151
11	November 19, 1989	at Pittsburgh Steelers	L 20–17	44,203
12	November 26, 1989	at Indianapolis Colts	L 10–6	58,822
13	December 3, 1989	New York Jets	L 20–17	38,954
14	December 10, 1989	at Washington Redskins	L 26–21	47,693
15	December 17, 1989	at Kansas City Chiefs	W 20–13	40,623
16	December 24, 1989	Denver Broncos	W 19–16	50,524
