Rank	Rider	Sat 21 Aug	Mon 23 Aug	Tues 24 Aug	Wed 25 Aug	Thurs 26 Aug	Fri 27 Aug	Sat 28 Aug
1	Michael Sweeney 600cc Yamaha	Untimed Practice	26' 57.82 89.957mph	19' 29.69 116.123mph	19' 17.77 104.021mph	19' 00.92 119.051mph	18' 54.41 119.734mph	—— No Time
2	Simon Fulton 599cc Yamaha	Untimed Practice	23' 31.88 96.203mph	19' 19.83 117.110mph	19' 13.11 117.793mph	19' 03.33 118.800mph	18' 59.25 119.226mph	—— No Time
3	Wayne Kirwan 600cc Yamaha	Untimed Practice	22' 38.60 99.977mph	19' 38.41 115.386mph	19' 29.39 116.153mph	19' 06.92 118.429mph	19' 08.49 118.267mph	—— No Time
4	Dan Sayle 600cc Yamaha	Untimed Practice	23' 08.44 97.828mph	20' 03.70 112.842mph	—— No Time	19' 09.10 119.204mph	19' 24.69 116.622mph	21' 40.20 104.467mph
5	Andrew Brady 748cc Suzuki	Untimed Practice	—— No Time	19' 22.55 116.836mph	19' 34.24 115.673mph	—— No Time	19' 09.88 118.123mph	—— No Time
6	Ivan Lintin 750cc Suzuki	Untimed Practice	19' 24.69 116.622mph	19' 37.17 115.386mph	19' 20.32 117.061mph	19' 15.30 117.570mph	—— No Time	—— No Time
7	David Lumsden 600cc Yamaha	Untimed Practice	24' 38.98 91.839mph	20' 28.61 110.554mph	20' 09.25 112.324mph	19' 19.68 117.125mph	19' 15.66 117.553mph	—— No Time
8	Jules Croft 600c Honda	Untimed Practice	25' 45.94 87.961mph	20' 03.37 112.873mph	20' 10.73 112.187mph	19' 52.18 113.932mph	19' 28.57 116.234mph	—— No Time
9	Philip McGurk 600cc Honda	Untimed Practice	23' 43.94 95.389mph	19' 48.52 115.386mph	19' 50.42 115.386mph	19' 36.97 115.405mph	19' 38.87 115.219mph	—— No Time
10	Stephen McKnight 599cc Yamaha	Untimed Practice	23' 08.68 97.811mph	20' 24.84 110.894mph	20' 08.43 112.401mph	19' 47.23 114.407mph	19' 46.36 114.491mph	—— No Time
11	Grant Wagstaff 749cc Suzuki	Untimed Practice	22' 03.28 102.645mph	20' 21.23 111.222mph	19' 50.39 114.103mph	—— No Time	19' 49.48 114.191mph	—— No Time
12	Shaun Anderson 750cc Suzuki	Untimed Practice	—— No Time	20' 47.83 108.851mph	20' 28.34 110.579mph	20' 06.39 112.591mph	19' 50.67 114.077mph	22' 45.53 99.469mph
13	Dave Moffitt 600cc Honda	Untimed Practice	24' 26.35 92.630mph	20' 52.96 108.406mph	19' 53.18 113.837mph	19' 40.40 115.570mph	19' 50.82 114.062mph	—— No Time
14	Tim Venables 600cc Honda	Untimed Practice	—— No Time	20' 49.46 108.709mph	20' 11.23 112.141mph	20' 05.19 112.703mph	19' 52.29 113.922mph	23' 32.62 96.153mph
15	Paul Smyth 600cc Yamaha	Untimed Practice	21' 45.78 104.021mph	20' 32.93 110.167mph	20' 30.08 110.422mph	19' 57.51 113.426mph	20' 13.71 111.912mph	21' 17.59 106.316mph
16	Jon Kennaugh 750cc Suzuki	Untimed Practice	23' 48.49 95.085mph	21' 06.84 107.218mph	20' 30.93 110.346mph	20' 36.14 109.881mph	20' 02.90 112.917mph	23' 41.65 95.542mph
17	Sebastian Buch 600cc Yamaha	Untimed Practice	24' 09.96 93.677mph	20' 58.89 107.895mph	20' 30.47 110.388mph	20' 17.58 111.556mph	20' 04.99 112.722mph	24' 11.51 93.577mph
18	Andrew Farrell 750cc Suzuki	Untimed Practice	23' 48.60 95.077mph	—— No Time	20' 20.84 111.258mph	—— No Time	20' 04.57 112.761mph	—— No Time
19	Ross Johnson 600cc Yamaha	Untimed Practice	26' 23.91 85.755mph	20' 35.56 109.932mph	20' 25.54 110.831mph	20' 09.55 112.297mph	20' 21.07 111.237mph	—— No Time
