Country	Renewable energy (RE)	Solar power (SP)	Wind power (WP)	Geothermal energy (GE)	Biofuel (BF)	Hydro power (Hydro)
Africa	RE in Africa	SP in Africa	WP in Africa	GE in Africa	BF in Africa	Hydro in Africa
Asia	RE in Asia	SP in Asia	WP in Asia	GE in Asia	BF in Asia	Hydro in Asia
European Union	RE in the EU	SP in the EU	WP in the EU	GE in the EU	BF in the EU	Hydro in the EU
Albania	RE in Albania	SP in Albania	WP in Albania	GE in Albania	BF in Albania	Hydro in Albania
Argentina	RE in Argentina	SP in Argentina	WP in Argentina	GE in Argentina	BF in Argentina	Hydro in Argentina
Armenia	RE in Armenia	SP in Armenia	WP in Armenia	GE in Armenia	BF in Armenia	Hydro in Armenia
Australia	RE in Australia	SP in Australia	WP in Australia	GE in Australia	BF in Australia	Hydro in Australia
Austria	RE in Austria	SP in Austria	WP in Austria	GE in Austria	BF in Austria	Hydro in Austria
Belarus	RE in Belarus	SP in Belarus	WP in Belarus	GE in Belarus	BF in Belarus	Hydro in Belarus
Belgium	RE in Belgium	SP in Belgium	WP in Belgium	GE in Belgium	BF in Belgium	Hydro in Belgium
Bolivia	RE in Bolivia	SP in Bolivia	WP in Bolivia	GE in Bolivia	BF in Bolivia	Hydro in Bolivia
Bosnia	RE in Bosnia	SP in Bosnia	WP in Bosnia	GE in Bosnia	BF in Bosnia	Hydro in Bosnia
Brazil	RE in Brazil	SP in Brazil	WP in Brazil	GE in Brazil	BF in Brazil	Hydro in Brazil
Bulgaria	RE in Bulgaria	SP in Bulgaria	WP in Bulgaria	GE in Bulgaria	BF in Bulgaria	Hydro in Bulgaria
Burma	RE in Burma	SP in Burma	WP in Burma	GE in Burma	BF in Burma	Hydro in Burma
Cambodia	RE in Cambodia	SP in Cambodia	WP in Cambodia	GE in Cambodia	BF in Cambodia	Hydro in Cambodia
Canada	RE in Canada	SP in Canada	WP in Canada	GE in Canada	BF in Canada	Hydro in Canada
Chile	RE in Chile	SP in Chile	WP in Chile	GE in Chile	BF in Chile	Hydro in Chile
China	RE in China	SP in China	WP in China	GE in China	BF in China	Hydro in China
Colombia	RE in Colombia	SP in Colombia	WP in Colombia	GE in Colombia	BF in Colombia	Hydro in Colombia
Croatia	RE in Croatia	SP in Croatia	WP in Croatia	GE in Croatia	BF in Croatia	Hydro in Croatia
Cuba	RE in Cuba	SP in Cuba	WP in Cuba	GE in Cuba	BF in Cuba	Hydro in Cuba
Cyprus	RE in Cyprus	SP in Cyprus	WP in Cyprus	GE in Cyprus	BF in Cyprus	Hydro in Cyprus
Czech	RE in Czech	SP in Czech	WP in Czech	GE in Czech	BF in Czech	Hydro in Czech
Denmark	RE in Denmark	SP in Denmark	WP in Denmark	GE in Denmark	BF in Denmark	Hydro in Denmark
Egypt	RE in Egypt	SP in Egypt	WP in Egypt	GE in Egypt	BF in Egypt	Hydro in Egypt
Estonia	RE in Estonia	SP in Estonia	WP in Estonia	GE in Estonia	BF in Estonia	Hydro in Estonia
Ethiopia	RE in Ethiopia	SP in Ethiopia	WP in Ethiopia	GE in Ethiopia	BF in Ethiopia	Hydro in Ethiopia
Finland	RE in Finland	SP in Finland	WP in Finland	GE in Finland	BF in Finland	Hydro in Finland
France	RE in France	SP in France	WP in France	GE in France	BF in France	Hydro in France
Germany	RE in Germany	SP in Germany	WP in Germany	GE in Germany	BF in Germany	Hydro in Germany
Greece	RE in Greece	SP in Greece	WP in Greece	GE in Greece	BF in Greece	Hydro in Greece
Haiti	RE in Haiti	SP in Haiti	WP in Haiti	GE in Haiti	BF in Haiti	Hydro in Haiti
Iceland	RE in Iceland	SP in Iceland	WP in Iceland	GE in Iceland	BF in Iceland	Hydro in Iceland
India	RE in India	SP in India	WP in India	GE in India	BF in India	Hydro in India
Indonesia	RE in Indonesia	SP in Indonesia	WP in Indonesia	GE in Indonesia	BF in Indonesia	Hydro in Indonesia
Iran	RE in Iran	SP in Iran	WP in Iran	GE in Iran	BF in Iran	Hydro in Iran
Iraq	RE in Iraq	SP in Iraq	WP in Iraq	GE in Iraq	BF in Ireland	Hydro in Iraq
Ireland	RE in Ireland	SP in Ireland	WP in Ireland	GE in Ireland	BF in Ireland	Hydro in Ireland
