Gymnast	Floor Exercise	Pommel Horse	Rings	Vault	Parallel Bars	Horizontal Bar	Total
Paul Hamm ( USA )	9.725	9.700	9.587	9.137	9.837	9.837	57.823
Kim Dae-Eun ( KOR )	9.650	9.537	9.712	9.412	9.775	9.725	57.811
Yang Tae-Young ( KOR )	9.512	9.650	9.725	9.700	9.712	9.475	57.774
Ioan Silviu Suciu ( ROU )	9.650	9.737	9.550	9.737	9.312	9.662	57.648
Rafael Martínez ( ESP )	9.500	9.687	9.575	9.612	9.700	9.475	57.549
Hiroyuki Tomita ( JPN )	9.062	9.737	9.762	9.625	9.637	9.662	57.485
Yang Wei ( CHN )	9.600	9.725	9.737	9.512	9.800	8.987	57.361
Marian Drăgulescu ( ROU )	9.612	9.525	9.562	9.850	9.437	9.337	57.323
Brett McClure ( USA )	9.412	9.712	9.162	9.625	9.725	9.612	57.248
Roman Zozulya ( UKR )	9.525	9.412	9.575	9.500	9.762	9.225	56.999
Isao Yoneda ( JPN )	9.650	9.575	9.337	9.700	9.612	9.025	56.899
Georgi Grebenkov ( RUS )	9.587	9.125	9.662	9.437	9.650	9.362	56.823
Alexei Bondarenko ( RUS )	9.600	9.150	9.600	9.400	9.450	9.600	56.800
Yernar Yerimbetov ( KAZ )	9.312	8.962	9.537	9.625	9.225	9.737	56.398
Luis Vargas ( PUR )	8.337	9.612	9.500	9.462	9.562	9.662	56.135
Ruslan Myezyentsev ( UKR )	9.512	8.975	9.387	9.437	9.637	9.112	56.060
Benoît Caranobe ( FRA )	9.112	9.400	9.575	9.187	9.087	9.612	55.973
Igors Vihrovs ( LAT )	9.687	8.862	9.187	9.700	9.000	9.437	55.873
Pavel Gofman ( ISR )	9.100	9.262	9.425	9.112	9.725	9.062	55.686
Eric Lopez Rios ( CUB )	9.137	8.600	9.500	9.700	9.675	8.837	55.449
Sergei Pfeifer ( GER )	9.312	9.025	9.587	9.087	9.162	9.212	55.385
Ilia Giorgadze ( GEO )	8.737	9.587	9.487	9.337	9.662	8.462	55.272
Fabian Hambüchen ( GER )	9.475	8.287	8.512	9.412	9.387	9.750	54.823
Andreas Schweizer ( SUI )	8.450	9.062	9.675	9.225	9.450	8.750	54.612
