Name / Name of Act	Age(s)	Genre	Act	Hometown	Semifinal (Week)	Position Reached
Jovit Baldivino	16	Singing	Singer	Batangas	1	Winner
Velasco Brothers	Various	Dancing	Breakdancing Crew	Manila	3	Second Place
Baguio Metamorphosis	Various	Dancing	Hiphop and Belly Dancing group	Baguio City	6	Third Place
Ingrid Payaket	21	Singing	Singer	Baguio City	6	Grand-Finalist
Ezra Band	Various	Music	Acoustic Band	Davao del Sur	4	Grand Finalist
Ruther Urquia	31	Ventriloquism	Ventriloquist	Las Piñas City	1	Grand Finalist
Alakim (Allan de Paz)	29	Magic	Magician	Quezon City	2	Grand Finalist
Keith Clark Delleva	14	Music	Electric Guitar Player	Pasay City	3	Grand Finalist
Sherwin Baguion	20	Singing	Singer	Lanao del Norte	4	Grand Finalist
Luntayao Family	Various	Singing	Singing group	Negros Occidental	5	Grand Finalist
Maria Jeline Oliva	13	Music	Violinist	Naga City	5	Grand Finalist
Markki Stroem	20	Singing	Singer	Quezon City	2	Grand Finalist
Imusicapella Chamber Choir	Various	Music	Showchoir	Cavite	6	Semi-finalist
Carl Malone Montecido	11	Singing	Singer	Bacolod City	6	Semi-finalist
Hello World	Various	Dancing	Dance crew	Davao City	6	Semi-finalist
Josephine Aton	32	Singing	Singer	Cebu City	6	Semi-finalist
Powerpuff Corn	Various	Singing	Acoustic duo	Baguio City	5	Semi-finalist
Experience Kidz	Various	Dancing	Dance crew	General Santos City	5	Semi-finalist
Harold Jomar Gesulga	17	Music	Beatboxer	General Santos City	5	Semi-finalist
Jzan Vern Tero	12	Singing	Singer	Cebu City	5	Semi-finalist
Geraldine "Fame" Flores	19	Singing	Opera Singer	Parañaque City	4	Semi-finalist
Big Mouth aka "BM" (Joel Amper)	32	Singing / Comedy	Singer with animal sounds	Manila	4	Semi-finalist
Goldies & Goodies	48-69	Dancing	Dance group	Cebu City	4	Semi-finalist
Reiniel Tulabing	11	Singing	Singer	Cainta, Rizal	4	Semi-finalist
Rolando Ng III	7	Singing	Singer	Cagayan de Oro	3	Semi-finalist
Alexis Carpena	21	Dancing	Isolation Dancer	Laguna	3	Semi-finalist
Manolito "Manoling" Saldivar	51	Singing	Opera Singer	Dumaguete City	3	Semi-finalist
Reggie Ramirez	33	Singing	Double-character Singer	Davao City	3	Semi-finalist
Kapidamu Band	10-16	Music	Band	Quezon	2	Semi-finalist
Florante Inutan	41	Music	Human Saxophone	Davao City	2	Semi-finalist
Garrett Devan Bolden, Jr	18	Singing	Singer	Olongapo City	2	Semi-finalist
Mae Lozada & Anselmo Estillore	Various	Dancing	Ballroom Dancing duo	Cebu City	2	Semi-finalist
Rolando Permangil	35	Singing	Singer	Davao City	1	Semi-finalist
Baguio Siblings (Jhistine Glyde & Filemon Baguio)	Various	Dancing	Ballroom Dancing duo	Cebu City	1	Semi-finalist
Snap Boyz	Various	Dancing	Dance crew	Cebu	1	Semi-finalist
