Week	Date	Opponent	Result	Game site	Record
1	September 13	Seattle Seahawks	W 40–17	Mile High Stadium	1–0
2	September 20	at Green Bay Packers	T 17–17 (OT)	Milwaukee County Stadium	1–0–1
–	September 28	at Cleveland Browns	canceled	Cleveland Stadium	1–0–1
4	October 4	Houston Oilers	L 10–40	Mile High Stadium	1–1–1
5	October 12	Los Angeles Raiders	W 30–14	Mile High Stadium	2–1–1
6	October 18	at Kansas City Chiefs	W 26–17	Arrowhead Stadium	3–1–1
7	October 26	at Minnesota Vikings	L 27–34	Hubert H. Humphrey Metrodome	3–2–1
8	November 1	Detroit Lions	W 34–0	Mile High Stadium	4–2–1
9	November 8	at Buffalo Bills	L 14–21	Rich Stadium	4–3–1
10	November 16	Chicago Bears	W 31–29	Mile High Stadium	5–3–1
11	November 22	at Los Angeles Raiders	W 23–17	Los Angeles Memorial Coliseum	6–3–1
12	November 29	at San Diego Chargers	W 31–17	Jack Murphy Stadium	7–3–1
13	December 6	New England Patriots	W 31–20	Mile High Stadium	8–3–1
14	December 13	at Seattle Seahawks	L 21–28	Kingdome	8–4–1
15	December 19	Kansas City Chiefs	W 20–17	Mile High Stadium	9–4–1
16	December 27	San Diego Chargers	W 24–0	Mile High Stadium	10–4–1
