Period	Team	Player	Penalty	Time
1st	NYR	Dan Fritsche	Interference	2:39
1st	MET	Vadim Ermolayev	Hooking	6:23
1st	NYR	Markus Näslund	Holding	9:43
1st	NYR	Paul Mara	Holding	16:19
2nd	MET	Evgeni Biryukov	Interference	26:27
2nd	NYR	Petr Průcha	Holding	29:17
2nd	MET	Vadim Ermolayev	Hooking	31:48
2nd	NYR	Markus Näslund	Hooking	32:17
2nd	NYR	Wade Redden	Interference	34:09
2nd	MET	Alexei Kaigorodov	Hooking	39:25
2nd	MET	Nikolai Zavarukhin	Hooking	39:28
3rd	MET	Vitali Atyushov	Slashing	42:19
3rd	MET	Stanislav Chistov	Hooking	49:20
3rd	MET	Evgeni Varlamov	Tripping	50:50
3rd	NYR	Ryan Callahan	Roughing	55:37
3rd	MET	Karel Pilař	Roughing	55:37
