Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1962: (35th)	The Sad Young Men	Los jóvenes viejos	Rodolfo Kuhn Category:Articles with hCards	Not Nominated
1965: (38th)	Pajarito Gómez	Pajarito Gómez	Rodolfo Kuhn Category:Articles with hCards	Not Nominated
1974: (47th)	The Truce	La tregua	Sergio Renán Category:Articles with hCards	Nominee
1975: (48th)	Nazareno Cruz and the Wolf	Nazareno Cruz y el lobo	Leonardo Favio Category:Articles with hCards	Not Nominated
1977: (50th)	What Does Fall Mean?	¿Qué es el otoño?	David José Kohon Category:Articles with hCards	Not Nominated
1979: (52nd)	The Island	La isla	Alejandro Doria Category:Articles with hCards	Not Nominated
1981: (54th)	The Underground Man	El hombre del subsuelo	Nicolás Sarquís Category:Articles with hCards	Not Nominated
1982: (55th)	Last Days of the Victim	Últimos días de la víctima	Adolfo Aristarain Category:Articles with hCards	Not Nominated
1984: (57th)	Camila	Camila	María Luisa Bemberg Category:Articles with hCards	Nominee
1985: (58th)	The Official Story	La historia oficial	Luis Puenzo Category:Articles with hCards	Won Academy Award
1986: (59th)	Tangos: the Exile of Gardel	Tangos: el exilio de Gardel	Fernando Solanas Category:Articles with hCards	Not Nominated
1987: (60th)	Man Facing Southeast	Hombre mirando al sudeste	Eliseo Subiela Category:Articles with hCards	Not Nominated
1988: (61st)	Verónico Cruz	La deuda interna	Miguel Pereira Category:Articles with hCards	Not Nominated
1989: (62nd)	The Girlfriend	La amiga	Jeanine Meerapfel Category:Articles with hCards	Not Nominated
1990: (63rd)	I, the Worst of All	Yo, la peor de todas	María Luisa Bemberg Category:Articles with hCards	Not Nominated
1991: (64th)	The Tombs	Las tumbas	Javier Torre Category:Articles with hCards	Not Nominated
1992: (65th)	Dark Side of the Heart	El lado oscuro del corazón	Eliseo Subiela Category:Articles with hCards	Not Nominated
1993: (66th)	Gatica	Gatica, el Mono	Leonardo Favio Category:Articles with hCards	Not Nominated
1994: (67th)	A Shadow You Soon Will Be	Una sombra ya pronto serás	Héctor Olivera Category:Articles with hCards	Not Nominated
1995: (68th)	Wild Horses	Caballos salvajes	Marcelo Piñeyro Category:Articles with hCards	Not Nominated
1996: (69th)	Eva Perón: The True Story	Eva Perón	Juan Carlos Desanzo Category:Articles with hCards	Not Nominated
1997: (70th)	Ashes of Paradise	Cenizas del paraíso	Marcelo Piñeyro Category:Articles with hCards	Not Nominated
1998: (71st)	Tango	Tango, no me dejes nunca	Carlos Saura Category:Articles with hCards	Nominee
1999: (72nd)	Manuelita	Manuelita	Manuel García Ferré Category:Articles with hCards	Not Nominated
2000: (73rd)	Merry Christmas	Felicidades	Lucho Bender Category:Articles with hCards	Not Nominated
2001: (74th)	Son of the Bride	El hijo de la novia	Juan José Campanella Category:Articles with hCards	Nominee
2002: (75th)	Kamchatka	Kamchatka	Marcelo Piñeyro Category:Articles with hCards	Not Nominated
2003: (76th)	Valentín	Valentín	Alejandro Agresti Category:Articles with hCards	Not Nominated
2004: (77th)	Lost Embrace	El abrazo partido	Daniel Burman Category:Articles with hCards	Not Nominated
2005: (78th)	The Aura	El aura	Fabián Bielinsky Category:Articles with hCards	Not Nominated
2006: (79th)	Family Law	Derecho de familia	Daniel Burman Category:Articles with hCards	Not Nominated
2007: (80th)	XXY	XXY	Lucía Puenzo Category:Articles with hCards	Not Nominated
2008: (81st)	Lion's Den	Leonera	Pablo Trapero Category:Articles with hCards	Not Nominated
2009: (82nd)	The Secret in Their Eyes	El secreto de sus ojos	Juan José Campanella Category:Articles with hCards	Won Academy Award
2010: (83rd)	Carancho	Carancho	Pablo Trapero Category:Articles with hCards	Not Nominated
2011: (84th)	Aballay	Aballay, el hombre sin miedo	Fernando Spiner Category:Articles with hCards	Not Nominated
2012: (85th)	Clandestine Childhood	Infancia clandestina	Benjamín Ávila Category:Articles with hCards	Not Nominated
